OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Jyvaskyla;1060;20040101;2004;1;1;431430;6918665;-17.6;-5.7;-21;0;354.7;1.11
;;;Jyvaskyla;1060;20040102;2004;1;2;431430;6918665;-24.4;-19.1;-26.6;0.1;335.1;0.53
;;;Jyvaskyla;1060;20040103;2004;1;3;431430;6918665;-16.4;-12.5;-24.7;0.2;384.5;1.27
;;;Jyvaskyla;1060;20040104;2004;1;4;431430;6918665;-7.7;-6;-16.8;0.8;89;3.02
;;;Jyvaskyla;1060;20040105;2004;1;5;431430;6918665;-7.7;-5.6;-11.5;0.6;207.8;3
;;;Jyvaskyla;1060;20040106;2004;1;6;431430;6918665;-8.5;-6.3;-11;0.6;255.9;2.79
;;;Jyvaskyla;1060;20040107;2004;1;7;431430;6918665;-4.7;-3.7;-6.9;0.1;477.5;3.81
;;;Jyvaskyla;1060;20040108;2004;1;8;431430;6918665;-5.5;-4.1;-6.5;4.1;296.8;3.58
;;;Jyvaskyla;1060;20040109;2004;1;9;431430;6918665;-6.3;-4.6;-9;0;319.6;3.41
;;;Jyvaskyla;1060;20040110;2004;1;10;431430;6918665;-13.9;-8.3;-17.7;0.1;501.4;1.63
;;;Jyvaskyla;1060;20040111;2004;1;11;431430;6918665;-14.3;-12.3;-18.6;0.6;552.8;1.58
;;;Jyvaskyla;1060;20040112;2004;1;12;431430;6918665;-9.9;-8;-12.5;0.1;217.4;2.43
;;;Jyvaskyla;1060;20040113;2004;1;13;431430;6918665;-3.9;-1.5;-9.2;0.1;195.1;4.3
;;;Jyvaskyla;1060;20040114;2004;1;14;431430;6918665;-4.9;-1.7;-6.3;0;354.4;3.85
;;;Jyvaskyla;1060;20040115;2004;1;15;431430;6918665;-7.1;-6.1;-7.4;1.1;542.2;3.08
;;;Jyvaskyla;1060;20040116;2004;1;16;431430;6918665;-8.6;-5.7;-14.4;2.7;580.6;2.72
;;;Jyvaskyla;1060;20040117;2004;1;17;431430;6918665;-6.3;-4.3;-7.3;0.3;297.7;3.33
;;;Jyvaskyla;1060;20040118;2004;1;18;431430;6918665;-8.6;-5.5;-12.8;1.4;333.7;2.69
;;;Jyvaskyla;1060;20040119;2004;1;19;431430;6918665;-17.6;-12.4;-20;0.1;397.5;1.11
;;;Jyvaskyla;1060;20040120;2004;1;20;431430;6918665;-17;-15.1;-18.6;0.7;1076.9;1.18
