OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Hyrynsalmi;2400;19610101;1961;1;1;3585000;7175000;-5.6;-5.2;-7.3;4;35;4.5
;;;Hyrynsalmi;2400;19610102;1961;1;2;3585000;7175000;-4.1;-2.8;-5.8;2;39;4.27
;;;Hyrynsalmi;2400;19610103;1961;1;3;3585000;7175000;-3.7;-2.4;-4.7;0;42;4.53
;;;Hyrynsalmi;2400;19610104;1961;1;4;3585000;7175000;-4.2;-3.8;-5.9;1;46;4.09
;;;Hyrynsalmi;2400;19610105;1961;1;5;3585000;7175000;-1.8;0.6;-4.9;3;50;4.97
;;;Hyrynsalmi;2400;19610106;1961;1;6;3585000;7175000;-2.1;0.7;-4.1;3;54;5.37
;;;Hyrynsalmi;2400;19610107;1961;1;7;3585000;7175000;-5.4;-3.7;-7.7;1;63;4
;;;Hyrynsalmi;2400;19610108;1961;1;8;3585000;7175000;-5.7;-4.5;-9.5;3;73;4.04
;;;Hyrynsalmi;2400;19610109;1961;1;9;3585000;7175000;-6.8;-3.8;-8.5;0;91;3.55
;;;Hyrynsalmi;2400;19610110;1961;1;10;3585000;7175000;-8.3;-7.3;-10.3;0;99;2.53
;;;Hyrynsalmi;2400;19610111;1961;1;11;3585000;7175000;-6.2;-1.7;-13.5;3;112;3.74
;;;Hyrynsalmi;2400;19610112;1961;1;12;3585000;7175000;-8.2;-1.7;-11.9;0;119;3.18
;;;Hyrynsalmi;2400;19610113;1961;1;13;3585000;7175000;-9.1;-7.8;-12.8;0;136;3.02
;;;Hyrynsalmi;2400;19610114;1961;1;14;3585000;7175000;-7.3;-5.6;-9.2;0;140;3.43
;;;Hyrynsalmi;2400;19610115;1961;1;15;3585000;7175000;-9.8;-5.9;-11.4;1;164;3.32
;;;Hyrynsalmi;2400;19610116;1961;1;16;3585000;7175000;-19.7;-10.5;-26.1;0;254;0.97
;;;Hyrynsalmi;2400;19610117;1961;1;17;3585000;7175000;-17.6;-11.4;-29.3;0;193;1.41
;;;Hyrynsalmi;2400;19610118;1961;1;18;3585000;7175000;-8.5;-7.7;-12;0;204;3.13
;;;Hyrynsalmi;2400;19610119;1961;1;19;3585000;7175000;-5.4;-4.1;-8.6;0;221;4.19
;;;Hyrynsalmi;2400;19610120;1961;1;20;3585000;7175000;-5.8;-4.2;-7;0;226;3.79
;;;Hyrynsalmi;2400;19610121;1961;1;21;3585000;7175000;-7.9;-6.5;-8.7;0;260;3.08
;;;Hyrynsalmi;2400;19610122;1961;1;22;3585000;7175000;-9.3;-6.9;-10.7;0;282;2.65
;;;Hyrynsalmi;2400;19610123;1961;1;23;3585000;7175000;-11;-6;-12.4;0;450;2.63
;;;Hyrynsalmi;2400;19610124;1961;1;24;3585000;7175000;-13.9;-11;-18.4;0;411;1.56
;;;Hyrynsalmi;2400;19610125;1961;1;25;3585000;7175000;-12.8;-10.5;-16.4;0;373;2.06
;;;Hyrynsalmi;2400;19610126;1961;1;26;3585000;7175000;-13.2;-10.1;-16.5;0;473;2.32
;;;Hyrynsalmi;2400;19610127;1961;1;27;3585000;7175000;-13.7;-10.9;-20.3;0;392;2.28
;;;Hyrynsalmi;2400;19610128;1961;1;28;3585000;7175000;-7.2;-3.8;-14;2;382;3.46
;;;Hyrynsalmi;2400;19610129;1961;1;29;3585000;7175000;-3.6;-1.9;-5.2;4;621;4.71
;;;Hyrynsalmi;2400;19610130;1961;1;30;3585000;7175000;-4.2;-1.1;-5.8;5;423;4.52
;;;Hyrynsalmi;2400;19610131;1961;1;31;3585000;7175000;-9.5;-4;-12.7;1;442;3.19
;;;Hyrynsalmi;2400;19610201;1961;2;1;3585000;7175000;-12.3;-11.5;-13.4;0;459;2.1
;;;Hyrynsalmi;2400;19610202;1961;2;2;3585000;7175000;-11.2;-10.9;-15.3;2;565;2.35
;;;Hyrynsalmi;2400;19610203;1961;2;3;3585000;7175000;-8.4;-5.8;-12.9;2;498;3.7
;;;Hyrynsalmi;2400;19610204;1961;2;4;3585000;7175000;-9.3;-7.1;-9.9;0;519;3.03
;;;Hyrynsalmi;2400;19610205;1961;2;5;3585000;7175000;-14.4;-9.7;-15.6;0;746;1.97
;;;Hyrynsalmi;2400;19610206;1961;2;6;3585000;7175000;-17;-14.9;-23.7;3;1038;0.94
;;;Hyrynsalmi;2400;19610207;1961;2;7;3585000;7175000;-7.7;-3;-22.4;4;592;3.5
;;;Hyrynsalmi;2400;19610208;1961;2;8;3585000;7175000;-4.6;-2.9;-5.3;1;647;4.26
;;;Hyrynsalmi;2400;19610209;1961;2;9;3585000;7175000;-8.9;-5.1;-16.5;0;995;3.05
;;;Hyrynsalmi;2400;19610210;1961;2;10;3585000;7175000;-8;-5.6;-14.6;0;663;3.6
;;;Hyrynsalmi;2400;19610211;1961;2;11;3585000;7175000;-5.2;-5.5;-7;2;683;3.35
;;;Hyrynsalmi;2400;19610212;1961;2;12;3585000;7175000;-5.8;-1.1;-8.9;1;782;4.36
;;;Hyrynsalmi;2400;19610213;1961;2;13;3585000;7175000;-9.5;-6.8;-16.5;0;1341;2.54
;;;Hyrynsalmi;2400;19610214;1961;2;14;3585000;7175000;-4;0.3;-16.3;3;761;4.84
;;;Hyrynsalmi;2400;19610215;1961;2;15;3585000;7175000;-3.9;0.8;-8.6;1;1467;4.44
;;;Hyrynsalmi;2400;19610216;1961;2;16;3585000;7175000;-6.2;-3.4;-17.5;0;807;3.35
;;;Hyrynsalmi;2400;19610217;1961;2;17;3585000;7175000;-2.8;-1.8;-9.1;1;856;4.46
;;;Hyrynsalmi;2400;19610218;1961;2;18;3585000;7175000;-3.1;3.4;-3.2;0;1316;5.6
;;;Hyrynsalmi;2400;19610219;1961;2;19;3585000;7175000;-8.1;-2.4;-17.8;0;1875;2.57
;;;Hyrynsalmi;2400;19610220;1961;2;20;3585000;7175000;-2.3;3.1;-16.2;2;1101;4.78
;;;Hyrynsalmi;2400;19610221;1961;2;21;3585000;7175000;-0.7;2.3;-3.4;9;1071;5.19
;;;Hyrynsalmi;2400;19610222;1961;2;22;3585000;7175000;0;2;-5;0;1927;5.04
;;;Hyrynsalmi;2400;19610223;1961;2;23;3585000;7175000;0.2;3.4;-0.5;0;1747;5.49
;;;Hyrynsalmi;2400;19610224;1961;2;24;3585000;7175000;-1.7;1.2;-6.1;0;1176;5.58
;;;Hyrynsalmi;2400;19610225;1961;2;25;3585000;7175000;-1;0.4;-4.9;2;1200;5.5
;;;Hyrynsalmi;2400;19610226;1961;2;26;3585000;7175000;-0.2;0.1;-1.3;2;1260;5.53
;;;Hyrynsalmi;2400;19610227;1961;2;27;3585000;7175000;0.4;1;-1.8;1;1311;5.8
;;;Hyrynsalmi;2400;19610228;1961;2;28;3585000;7175000;1.2;2.7;0.2;0;1844;6.01
;;;Hyrynsalmi;2400;19610301;1961;3;1;3585000;7175000;0.1;1.7;-0.5;0;1804;5.56
;;;Hyrynsalmi;2400;19610302;1961;3;2;3585000;7175000;0.2;1;-0.8;0;1449;5.47
;;;Hyrynsalmi;2400;19610303;1961;3;3;3585000;7175000;-0.8;0.3;-2.6;0;1518;5.07
;;;Hyrynsalmi;2400;19610304;1961;3;4;3585000;7175000;0.8;2;-0.5;0;1794;5.56
;;;Hyrynsalmi;2400;19610305;1961;3;5;3585000;7175000;-1.8;1.6;-6.3;0;2672;4.71
;;;Hyrynsalmi;2400;19610306;1961;3;6;3585000;7175000;0.9;4.2;-1.9;4;2827;5.39
;;;Hyrynsalmi;2400;19610307;1961;3;7;3585000;7175000;-2.9;-0.2;-5.1;0;2948;3.92
;;;Hyrynsalmi;2400;19610308;1961;3;8;3585000;7175000;-5.3;-2.4;-8.8;1;3161;2.84
;;;Hyrynsalmi;2400;19610309;1961;3;9;3585000;7175000;-1.7;1.6;-6;1;2245;5.21
;;;Hyrynsalmi;2400;19610310;1961;3;10;3585000;7175000;0.1;3.7;-2.8;0;2640;5.09
;;;Hyrynsalmi;2400;19610311;1961;3;11;3585000;7175000;0.9;2.9;-1.1;2;1779;5.99
;;;Hyrynsalmi;2400;19610312;1961;3;12;3585000;7175000;-2.1;1.4;-5.2;0;3506;4.05
;;;Hyrynsalmi;2400;19610313;1961;3;13;3585000;7175000;-4.4;1;-10.6;0;4712;3.64
;;;Hyrynsalmi;2400;19610314;1961;3;14;3585000;7175000;-3.2;0.1;-6.6;0;4905;3.81
;;;Hyrynsalmi;2400;19610315;1961;3;15;3585000;7175000;-4.1;-1.9;-8.3;2;2332;4.01
;;;Hyrynsalmi;2400;19610316;1961;3;16;3585000;7175000;-4.8;-3.1;-6.6;0;3403;3.39
;;;Hyrynsalmi;2400;19610317;1961;3;17;3585000;7175000;-6;-3;-9.1;6;2248;2.87
;;;Hyrynsalmi;2400;19610318;1961;3;18;3585000;7175000;-7;-4.9;-9.8;0;3071;3.42
;;;Hyrynsalmi;2400;19610319;1961;3;19;3585000;7175000;-9.2;-4.9;-13.1;0;6301;2.22
;;;Hyrynsalmi;2400;19610320;1961;3;20;3585000;7175000;-10.9;-5.1;-18.5;0;4118;2.02
;;;Hyrynsalmi;2400;19610321;1961;3;21;3585000;7175000;-9.7;-3.6;-16.8;0;6205;2.13
;;;Hyrynsalmi;2400;19610322;1961;3;22;3585000;7175000;-9.3;-2.1;-20.9;1;6871;2.16
;;;Hyrynsalmi;2400;19610323;1961;3;23;3585000;7175000;-4;0.6;-7.7;1;3088;3.91
;;;Hyrynsalmi;2400;19610324;1961;3;24;3585000;7175000;-5.9;-0.9;-13.1;0;4803;3.31
;;;Hyrynsalmi;2400;19610325;1961;3;25;3585000;7175000;-4.4;0.2;-9.6;0;4255;3.48
;;;Hyrynsalmi;2400;19610326;1961;3;26;3585000;7175000;-5.5;-1.5;-16.1;12;2080;3.69
;;;Hyrynsalmi;2400;19610327;1961;3;27;3585000;7175000;-3.5;0.6;-5.2;2;2146;4.35
;;;Hyrynsalmi;2400;19610328;1961;3;28;3585000;7175000;-5.1;-1.9;-7.2;1;3099;3.43
;;;Hyrynsalmi;2400;19610329;1961;3;29;3585000;7175000;-9.4;0;-23.2;0;7760;1.87
;;;Hyrynsalmi;2400;19610330;1961;3;30;3585000;7175000;-7.8;-0.8;-18.5;2;7197;2.62
;;;Hyrynsalmi;2400;19610331;1961;3;31;3585000;7175000;-4.9;-3.1;-7;0;2567;3.63
;;;Hyrynsalmi;2400;19610401;1961;4;1;3585000;7175000;-6.8;-4.3;-10.8;0;3239;3.36
;;;Hyrynsalmi;2400;19610402;1961;4;2;3585000;7175000;-4.9;0;-10.9;0;5869;3.11
;;;Hyrynsalmi;2400;19610403;1961;4;3;3585000;7175000;-5.3;0.2;-12.4;0;5062;2.92
