OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Ilomantsi;1464;19610101;1961;1;1;3715000;6955000;-3;-2.4;-4.8;6;49;4.5
;;;Ilomantsi;1464;19610102;1961;1;2;3715000;6955000;-2;-1;-2.8;0;60;5.45
;;;Ilomantsi;1464;19610103;1961;1;3;3715000;6955000;-3.4;-2.2;-3.7;0;60;4.3
;;;Ilomantsi;1464;19610104;1961;1;4;3715000;6955000;-2.7;-2.6;-4.7;1;71;4.8
;;;Ilomantsi;1464;19610105;1961;1;5;3715000;6955000;-0.5;0.4;-2.9;5;71;5.69
;;;Ilomantsi;1464;19610106;1961;1;6;3715000;6955000;0.4;1.4;1;3;75;6.53
;;;Ilomantsi;1464;19610107;1961;1;7;3715000;6955000;-1.1;1.7;-2.9;1;86;5.07
;;;Ilomantsi;1464;19610108;1961;1;8;3715000;6955000;-1.5;-0.4;-2.3;2;100;4.99
;;;Ilomantsi;1464;19610109;1961;1;9;3715000;6955000;-3.7;-1.4;-3.6;4;106;5.22
;;;Ilomantsi;1464;19610110;1961;1;10;3715000;6955000;-8.3;-4.4;-14.3;0;109;1.98
;;;Ilomantsi;1464;19610111;1961;1;11;3715000;6955000;-4.6;-0.8;-16.3;5;116;4.65
;;;Ilomantsi;1464;19610112;1961;1;12;3715000;6955000;-3.6;-0.3;-7.4;0;119;5.05
;;;Ilomantsi;1464;19610113;1961;1;13;3715000;6955000;-5.5;-2.9;-10.2;4;132;3.61
;;;Ilomantsi;1464;19610114;1961;1;14;3715000;6955000;-4;-2.7;-9.4;1;157;4.38
;;;Ilomantsi;1464;19610115;1961;1;15;3715000;6955000;-6.4;-3.5;-5.1;3;148;4.46
;;;Ilomantsi;1464;19610116;1961;1;16;3715000;6955000;-14.7;-5;-16.9;0;245;2.28
;;;Ilomantsi;1464;19610117;1961;1;17;3715000;6955000;-19.8;-17.9;-25.1;0;149;1.09
;;;Ilomantsi;1464;19610118;1961;1;18;3715000;6955000;-13;-8.9;-24;0;188;1.27
;;;Ilomantsi;1464;19610119;1961;1;19;3715000;6955000;-6.7;-5.1;-10.2;0;209;3.36
;;;Ilomantsi;1464;19610120;1961;1;20;3715000;6955000;-5.9;-5.1;-6;0;206;3.58
;;;Ilomantsi;1464;19610121;1961;1;21;3715000;6955000;-9.4;-5.4;-13.7;0;239;2.99
;;;Ilomantsi;1464;19610122;1961;1;22;3715000;6955000;-12.2;-10.8;-17.5;0;304;1.43
;;;Ilomantsi;1464;19610123;1961;1;23;3715000;6955000;-10.5;-7.8;-11.9;0;386;3.01
