OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Juva;945;19610101;1961;1;1;3545000;6855000;-2.9;-2.4;-4.4;3;217;-999
;;;Juva;945;19610102;1961;1;2;3545000;6855000;-2.5;-1.6;-3.5;0;213;5.02
;;;Juva;945;19610103;1961;1;3;3545000;6855000;-2.7;-1.6;-3.5;0;230;4.98
;;;Juva;945;19610104;1961;1;4;3545000;6855000;-2.2;-1.9;-3.6;3;236;4.73
;;;Juva;945;19610105;1961;1;5;3545000;6855000;-0.1;0.7;-1.9;3;245;6.09
;;;Juva;945;19610106;1961;1;6;3545000;6855000;-0.8;1;-1.4;3;253;5.79
;;;Juva;945;19610107;1961;1;7;3545000;6855000;-1.7;-0.4;-5.4;1;262;5.1
;;;Juva;945;19610108;1961;1;8;3545000;6855000;-1.4;-0.6;-1.5;2;262;5.58
;;;Juva;945;19610109;1961;1;9;3545000;6855000;-6.4;-0.7;-8.1;1;284;4.13
;;;Juva;945;19610110;1961;1;10;3545000;6855000;-10.3;-6.4;-19.3;1;423;2.54
;;;Juva;945;19610111;1961;1;11;3545000;6855000;-2.3;0.4;-11.3;2;303;5.54
;;;Juva;945;19610112;1961;1;12;3545000;6855000;-3.4;-0.3;-8;1;310;4.43
;;;Juva;945;19610113;1961;1;13;3545000;6855000;-3.1;-0.7;-7.7;5;326;4.67
;;;Juva;945;19610114;1961;1;14;3545000;6855000;-2;-1;-3.3;0;310;4.95
;;;Juva;945;19610115;1961;1;15;3545000;6855000;-3.2;0.3;-3;2;400;4.84
;;;Juva;945;19610116;1961;1;16;3545000;6855000;-13.6;-2.6;-16.5;0;604;1.94
;;;Juva;945;19610117;1961;1;17;3545000;6855000;-20.6;-15.8;-28.3;0;604;0.86
;;;Juva;945;19610118;1961;1;18;3545000;6855000;-10.4;-5.4;-27.3;0;373;3.09
;;;Juva;945;19610119;1961;1;19;3545000;6855000;-4.7;-3.9;-5.7;0;380;4.29
;;;Juva;945;19610120;1961;1;20;3545000;6855000;-4.6;-3.9;-5.1;0;472;4.03
;;;Juva;945;19610121;1961;1;21;3545000;6855000;-7.9;-4.3;-9.9;0;532;3.14
;;;Juva;945;19610122;1961;1;22;3545000;6855000;-13.3;-8.4;-20.8;0;735;2.01
;;;Juva;945;19610123;1961;1;23;3545000;6855000;-11.5;-7.5;-18.1;0;632;2.7
;;;Juva;945;19610124;1961;1;24;3545000;6855000;-14.1;-9.2;-17.2;0;817;1.62
;;;Juva;945;19610125;1961;1;25;3545000;6855000;-12.6;-10.5;-17.7;0;640;1.99
;;;Juva;945;19610126;1961;1;26;3545000;6855000;-7.9;-6.2;-11.3;0;641;2.96
;;;Juva;945;19610127;1961;1;27;3545000;6855000;-4.7;-3;-6.5;1;540;4
;;;Juva;945;19610128;1961;1;28;3545000;6855000;-2.8;-0.9;-5.7;2;541;4.59
;;;Juva;945;19610129;1961;1;29;3545000;6855000;-1;-0.5;-3.5;2;593;5.12
;;;Juva;945;19610130;1961;1;30;3545000;6855000;0.2;1.5;-2.1;10;577;6.25
;;;Juva;945;19610131;1961;1;31;3545000;6855000;-1.4;1.3;-4;2;566;5.28
;;;Juva;945;19610201;1961;2;1;3545000;6855000;-5.8;-3.7;-6.9;1;567;3.68
