OmaTunniste;OmaIt‰;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Kankaanp‰‰;1010;19610101;1961;01;01;3255000;6875000;-4.4;-3.4;-4.8;1;430;-999
;;;Kankaanp‰‰;1010;19610102;1961;01;02;3255000;6875000;-3.4;-1.9;-5.4;2;445;4.59
;;;Kankaanp‰‰;1010;19610103;1961;01;03;3255000;6875000;-0.8;0.3;-2.4;0;454;5.58
;;;Kankaanp‰‰;1010;19610104;1961;01;04;3255000;6875000;-2.5;-1.2;-3.8;6;469;4.68
;;;Kankaanp‰‰;1010;19610105;1961;01;05;3255000;6875000;-0.2;1.8;-3.7;0;477;5.91
;;;Kankaanp‰‰;1010;19610106;1961;01;06;3255000;6875000;-1.8;0.2;-3.4;2;487;4.94
;;;Kankaanp‰‰;1010;19610107;1961;01;07;3255000;6875000;-1.5;-1;-3.5;8;509;5.25
;;;Kankaanp‰‰;1010;19610108;1961;01;08;3255000;6875000;-3.6;-1.2;-6.6;0;529;4.6
;;;Kankaanp‰‰;1010;19610109;1961;01;09;3255000;6875000;-6.2;-4.9;-8.5;1;694;3.53
;;;Kankaanp‰‰;1010;19610110;1961;01;10;3255000;6875000;-6.6;-5.4;-10;7;821;3.35
;;;Kankaanp‰‰;1010;19610111;1961;01;11;3255000;6875000;-1.8;0.1;-6.4;0;577;5.38
;;;Kankaanp‰‰;1010;19610112;1961;01;12;3255000;6875000;-7.7;-2.3;-15.2;1;591;3.01
;;;Kankaanp‰‰;1010;19610113;1961;01;13;3255000;6875000;-1.4;-0.1;-6.8;6;607;5.34
;;;Kankaanp‰‰;1010;19610114;1961;01;14;3255000;6875000;-2.3;-0.2;-4.7;0;1050;4.84
;;;Kankaanp‰‰;1010;19610115;1961;01;15;3255000;6875000;-0.5;2.4;-5.2;0;913;5.55
;;;Kankaanp‰‰;1010;19610116;1961;01;16;3255000;6875000;-13;0.6;-17.9;0;1129;2.03
;;;Kankaanp‰‰;1010;19610117;1961;01;17;3255000;6875000;-12.6;-9;-20;0;941;2.02
;;;Kankaanp‰‰;1010;19610118;1961;01;18;3255000;6875000;-2.4;-0.3;-9.7;0;722;4.95
;;;Kankaanp‰‰;1010;19610119;1961;01;19;3255000;6875000;-2.5;-0.6;-3.9;0;749;4.52
;;;Kankaanp‰‰;1010;19610120;1961;01;20;3255000;6875000;-5.4;-2.7;-8.8;0;781;3.85
;;;Kankaanp‰‰;1010;19610121;1961;01;21;3255000;6875000;-10.2;-6.8;-13.4;0;774;2.55
;;;Kankaanp‰‰;1010;19610122;1961;01;22;3255000;6875000;-9.4;-7;-13.5;0;1384;2.76
;;;Kankaanp‰‰;1010;19610123;1961;01;23;3255000;6875000;-9.1;-6.6;-14.6;0;965;2.88
;;;Kankaanp‰‰;1010;19610124;1961;01;24;3255000;6875000;-11.4;-7.3;-14.6;0;910;2.29
;;;Kankaanp‰‰;1010;19610125;1961;01;25;3255000;6875000;-11.5;-8.5;-18;0;1144;2.19
;;;Kankaanp‰‰;1010;19610126;1961;01;26;3255000;6875000;-5.6;-2.2;-11.1;0;1047;3.73
;;;Kankaanp‰‰;1010;19610127;1961;01;27;3255000;6875000;-3.7;-1.8;-7.5;0;1015;4.12
;;;Kankaanp‰‰;1010;19610128;1961;01;28;3255000;6875000;-1.8;0.7;-4.7;0;974;4.85
;;;Kankaanp‰‰;1010;19610129;1961;01;29;3255000;6875000;-1.1;0;-5.2;3;997;5.5
;;;Kankaanp‰‰;1010;19610130;1961;01;30;3255000;6875000;0.7;1.9;-1.3;9;1027;6.42
;;;Kankaanp‰‰;1010;19610131;1961;01;31;3255000;6875000;-3.9;1.6;-6.6;0;1063;4.4
;;;Kankaanp‰‰;1010;19610201;1961;02;01;3255000;6875000;-5.1;-4.6;-6.3;1;1157;3.96
;;;Kankaanp‰‰;1010;19610202;1961;02;02;3255000;6875000;-2.1;-0.5;-5.4;4;1148;5.03
;;;Kankaanp‰‰;1010;19610203;1961;02;03;3255000;6875000;-0.7;0.3;-2;1;1177;5.74
;;;Kankaanp‰‰;1010;19610204;1961;02;04;3255000;6875000;-2.1;-0.1;-3.3;2;1150;5.17
;;;Kankaanp‰‰;1010;19610205;1961;02;05;3255000;6875000;-9.9;-2.5;-14.9;0;1848;2.81
;;;Kankaanp‰‰;1010;19610206;1961;02;06;3255000;6875000;-10.8;-5.1;-18.3;3;1268;2.52
;;;Kankaanp‰‰;1010;19610207;1961;02;07;3255000;6875000;0.3;2;-5.7;1;1292;5.95
