OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Laihia;1526;19610101;1961;1;1;3245000;6975000;-5;-3.3;-6.2;2;292;-999
;;;Laihia;1526;19610102;1961;1;2;3245000;6975000;-4.6;-3.2;-7.5;2;335;4.03
;;;Laihia;1526;19610103;1961;1;3;3245000;6975000;-2.1;-0.1;-5.6;0;323;5.12
;;;Laihia;1526;19610104;1961;1;4;3245000;6975000;-1.8;-1;-2.6;4;342;4.78
;;;Laihia;1526;19610105;1961;1;5;3245000;6975000;-1;1.1;-3;2;337;5.66
;;;Laihia;1526;19610106;1961;1;6;3245000;6975000;-3.3;0.7;-5.8;1;350;4.24
;;;Laihia;1526;19610107;1961;1;7;3245000;6975000;-3.2;-1.9;-7.7;2;387;4.58
;;;Laihia;1526;19610108;1961;1;8;3245000;6975000;-4.4;-2.8;-5.8;0;414;4.23
;;;Laihia;1526;19610109;1961;1;9;3245000;6975000;-5.5;-4.3;-7.1;0;543;3.4
;;;Laihia;1526;19610110;1961;1;10;3245000;6975000;-5.3;-4.3;-8.1;3;508;3.26
;;;Laihia;1526;19610111;1961;1;11;3245000;6975000;-6.7;-1.4;-9.2;1;442;4.08
;;;Laihia;1526;19610112;1961;1;12;3245000;6975000;-9;-4.4;-16.8;0;479;2.83
;;;Laihia;1526;19610113;1961;1;13;3245000;6975000;-3.5;-1.2;-6.8;3;463;4.66
;;;Laihia;1526;19610114;1961;1;14;3245000;6975000;-3.6;-1.6;-6.8;0;844;4
;;;Laihia;1526;19610115;1961;1;15;3245000;6975000;-2.7;2.3;-5.9;0;769;4.94
;;;Laihia;1526;19610116;1961;1;16;3245000;6975000;-13.1;-2;-20.3;0;855;1.87
;;;Laihia;1526;19610117;1961;1;17;3245000;6975000;-9.2;-6.3;-20.1;0;700;2.44
;;;Laihia;1526;19610118;1961;1;18;3245000;6975000;-2.2;-0.7;-6;0;603;4.72
;;;Laihia;1526;19610119;1961;1;19;3245000;6975000;-2.4;-0.6;-5.7;0;672;4.38
;;;Laihia;1526;19610120;1961;1;20;3245000;6975000;-4.7;-1.6;-7.2;0;676;3.67
;;;Laihia;1526;19610121;1961;1;21;3245000;6975000;-6.9;-4.1;-9.7;0;638;3.08
;;;Laihia;1526;19610122;1961;1;22;3245000;6975000;-8;-6.2;-9.3;0;843;2.87
;;;Laihia;1526;19610123;1961;1;23;3245000;6975000;-8.8;-5.6;-15.6;0;975;2.85
;;;Laihia;1526;19610124;1961;1;24;3245000;6975000;-11.4;-7.2;-16;0;974;2.34
;;;Laihia;1526;19610125;1961;1;25;3245000;6975000;-12.2;-9.4;-17.4;0;1077;1.81
;;;Laihia;1526;19610126;1961;1;26;3245000;6975000;-5.3;-1.9;-9.6;0;1037;3.58
;;;Laihia;1526;19610127;1961;1;27;3245000;6975000;-4;-2.3;-8.2;0;1071;3.83
;;;Laihia;1526;19610128;1961;1;28;3245000;6975000;-1.6;0.4;-5.1;0;853;4.7
;;;Laihia;1526;19610129;1961;1;29;3245000;6975000;-0.1;0.3;-2.6;3;884;5.56
;;;Laihia;1526;19610130;1961;1;30;3245000;6975000;-0.4;1.1;0.1;8;904;6.06
;;;Laihia;1526;19610131;1961;1;31;3245000;6975000;-5.5;0.4;-7;0;1010;3.78
;;;Laihia;1526;19610201;1961;2;1;3245000;6975000;-7;-6.3;-8.5;0;1281;3.16
;;;Laihia;1526;19610202;1961;2;2;3245000;6975000;-4.4;-2.1;-8.5;2;1143;4.11
;;;Laihia;1526;19610203;1961;2;3;3245000;6975000;-3;-0.7;-4.6;3;1103;4.6
;;;Laihia;1526;19610204;1961;2;4;3245000;6975000;-4.9;-2.6;-5.2;2;988;4.27
;;;Laihia;1526;19610205;1961;2;5;3245000;6975000;-12.1;-4.7;-18.4;0;1623;2.43
;;;Laihia;1526;19610206;1961;2;6;3245000;6975000;-9.8;-5.5;-21;4;1297;2.37
;;;Laihia;1526;19610207;1961;2;7;3245000;6975000;0;2.4;-5.8;2;1241;6.05
;;;Laihia;1526;19610208;1961;2;8;3245000;6975000;-4;2.6;-9.2;0;1953;3.98
;;;Laihia;1526;19610209;1961;2;9;3245000;6975000;-5.4;-3.1;-10.9;0;1010;3.74
;;;Laihia;1526;19610210;1961;2;10;3245000;6975000;-5.9;-4.9;-10;2;1488;3.28
;;;Laihia;1526;19610211;1961;2;11;3245000;6975000;-2.1;1.1;-8.5;0;1266;5.46
;;;Laihia;1526;19610212;1961;2;12;3245000;6975000;-3;1;-6.6;0;3178;4.62
;;;Laihia;1526;19610213;1961;2;13;3245000;6975000;-3.5;-1.1;-11.6;0;3003;3.52
;;;Laihia;1526;19610214;1961;2;14;3245000;6975000;1;2.2;-1.6;0;1364;6.27
;;;Laihia;1526;19610215;1961;2;15;3245000;6975000;-0.4;3.2;-5;0;3328;4.8
;;;Laihia;1526;19610216;1961;2;16;3245000;6975000;1;3.7;-6.2;0;2973;5.47
;;;Laihia;1526;19610217;1961;2;17;3245000;6975000;3.4;6;1.2;0;2202;6.28
;;;Laihia;1526;19610218;1961;2;18;3245000;6975000;2.2;5.4;1;0;3148;6.24
;;;Laihia;1526;19610219;1961;2;19;3245000;6975000;-0.9;2;-3.6;0;2259;4.83
;;;Laihia;1526;19610220;1961;2;20;3245000;6975000;1.2;4.3;-3.4;0;2394;5.78
;;;Laihia;1526;19610221;1961;2;21;3245000;6975000;1.2;4.6;-1.7;0;3766;5.53
;;;Laihia;1526;19610222;1961;2;22;3245000;6975000;0.4;2.9;-1.1;0;2665;5.05
;;;Laihia;1526;19610223;1961;2;23;3245000;6975000;-1.1;3.9;-2.6;0;3696;5.16
;;;Laihia;1526;19610224;1961;2;24;3245000;6975000;-2;5.5;-8.1;0;4877;4.38
;;;Laihia;1526;19610225;1961;2;25;3245000;6975000;-1;0.5;-5.8;1;1786;5.08
;;;Laihia;1526;19610226;1961;2;26;3245000;6975000;0.9;2.5;-0.9;1;2287;5.97
;;;Laihia;1526;19610227;1961;2;27;3245000;6975000;1.8;3.2;-0.3;1;1994;6.73
;;;Laihia;1526;19610228;1961;2;28;3245000;6975000;1.9;4.6;0.1;0;4371;5.51
;;;Laihia;1526;19610301;1961;3;1;3245000;6975000;0;2.7;-2.3;0;3265;5.52
;;;Laihia;1526;19610302;1961;3;2;3245000;6975000;-1;0.6;-3.1;0;2312;5.28
;;;Laihia;1526;19610303;1961;3;3;3245000;6975000;-1.2;0.8;-5.5;0;2511;5.47
;;;Laihia;1526;19610304;1961;3;4;3245000;6975000;1.5;2.8;-0.3;0;3122;5.85
;;;Laihia;1526;19610305;1961;3;5;3245000;6975000;2.1;3.3;0.3;1;3406;5.49
;;;Laihia;1526;19610306;1961;3;6;3245000;6975000;4.4;6.6;2.2;0;3090;6.27
;;;Laihia;1526;19610307;1961;3;7;3245000;6975000;1.4;5.5;-1.3;0;5278;4.72
;;;Laihia;1526;19610308;1961;3;8;3245000;6975000;-1.9;1.3;-6.2;2;2513;4.55
;;;Laihia;1526;19610309;1961;3;9;3245000;6975000;3.7;6.7;1.3;1;3685;6.54
;;;Laihia;1526;19610310;1961;3;10;3245000;6975000;5.1;9.7;2.5;0;5308;6.84
;;;Laihia;1526;19610311;1961;3;11;3245000;6975000;2.3;4.1;-0.4;1;4742;5.59
;;;Laihia;1526;19610312;1961;3;12;3245000;6975000;1.5;2.9;-0.4;0;5520;5.23
;;;Laihia;1526;19610313;1961;3;13;3245000;6975000;0.1;3.2;-3;0;4044;4.12
;;;Laihia;1526;19610314;1961;3;14;3245000;6975000;-1.6;1.4;-6.2;1;3102;4.06
;;;Laihia;1526;19610315;1961;3;15;3245000;6975000;0.2;1.4;-1.6;0;5010;4.25
;;;Laihia;1526;19610316;1961;3;16;3245000;6975000;-2.1;0.9;-6;0;6974;3.54
;;;Laihia;1526;19610317;1961;3;17;3245000;6975000;0.9;4.8;-3.1;1;2659;5.42
;;;Laihia;1526;19610318;1961;3;18;3245000;6975000;-3.9;4.4;-6.9;0;4438;3.78
;;;Laihia;1526;19610319;1961;3;19;3245000;6975000;-4.8;-2;-6.2;0;9677;2.88
;;;Laihia;1526;19610320;1961;3;20;3245000;6975000;-6;-1.3;-10.8;0;8771;2.77
;;;Laihia;1526;19610321;1961;3;21;3245000;6975000;-6.5;-0.6;-13.3;0;10120;2.57
;;;Laihia;1526;19610322;1961;3;22;3245000;6975000;-3.4;1.8;-10.3;2;7182;3.52
;;;Laihia;1526;19610323;1961;3;23;3245000;6975000;1.4;3.7;-1.8;0;6938;5.38
;;;Laihia;1526;19610324;1961;3;24;3245000;6975000;0.2;2.8;-1.4;0;7335;3.99
;;;Laihia;1526;19610325;1961;3;25;3245000;6975000;-0.7;1.8;-2.7;2;11342;3.52
;;;Laihia;1526;19610326;1961;3;26;3245000;6975000;1.6;4.3;-0.6;0;3251;6.12
;;;Laihia;1526;19610327;1961;3;27;3245000;6975000;-0.3;1.7;-1.8;1;6978;4.62
;;;Laihia;1526;19610328;1961;3;28;3245000;6975000;-2.2;0.7;-5.2;0;7492;4.07
;;;Laihia;1526;19610329;1961;3;29;3245000;6975000;-2.7;1.7;-8.8;0;4996;3.8
;;;Laihia;1526;19610330;1961;3;30;3245000;6975000;-2.8;1.3;-8;0;7972;3.75
;;;Laihia;1526;19610331;1961;3;31;3245000;6975000;-2.8;-0.5;-3.5;0;7826;3.57
;;;Laihia;1526;19610401;1961;4;1;3245000;6975000;-4.5;1;-10.4;0;13125;3.04
;;;Laihia;1526;19610402;1961;4;2;3245000;6975000;-2.8;3.5;-8.7;1;11137;4.06
;;;Laihia;1526;19610403;1961;4;3;3245000;6975000;-3.2;3.1;-8.4;0;9867;3.96
;;;Laihia;1526;19610404;1961;4;4;3245000;6975000;-2.7;4;-9.8;0;11149;3.48
;;;Laihia;1526;19610405;1961;4;5;3245000;6975000;-1.9;3.8;-8;0;11971;4.05
;;;Laihia;1526;19610406;1961;4;6;3245000;6975000;-1;2;-4.4;1;4942;4.99
;;;Laihia;1526;19610407;1961;4;7;3245000;6975000;0.4;4.6;-1.1;0;7214;5.26
;;;Laihia;1526;19610408;1961;4;8;3245000;6975000;0;3.3;-3.4;0;13723;4.33
;;;Laihia;1526;19610409;1961;4;9;3245000;6975000;-0.6;2.4;-3.6;0;11441;3.74
;;;Laihia;1526;19610410;1961;4;10;3245000;6975000;-2.1;1.4;-6.1;0;11936;3.46
;;;Laihia;1526;19610411;1961;4;11;3245000;6975000;-3.4;0.3;-7.8;0;14040;3.49
;;;Laihia;1526;19610412;1961;4;12;3245000;6975000;-1.8;4;-8.9;0;11979;3.61
;;;Laihia;1526;19610413;1961;4;13;3245000;6975000;1.8;6.5;-1.4;1;15660;4.63
;;;Laihia;1526;19610414;1961;4;14;3245000;6975000;1.6;4.2;-1.8;0;6161;6.6
;;;Laihia;1526;19610415;1961;4;15;3245000;6975000;3.4;5.6;1.8;0;3940;7.62
;;;Laihia;1526;19610416;1961;4;16;3245000;6975000;3.7;8.2;-0.1;0;15184;5.98
;;;Laihia;1526;19610417;1961;4;17;3245000;6975000;5.3;10.8;-1;0;8810;5.46
;;;Laihia;1526;19610418;1961;4;18;3245000;6975000;5.6;9.4;2.4;0;12325;5.77
;;;Laihia;1526;19610419;1961;4;19;3245000;6975000;2.4;5.5;0.5;0;14066;4.42
;;;Laihia;1526;19610420;1961;4;20;3245000;6975000;0.3;3.4;-2.5;0;14495;3.62
;;;Laihia;1526;19610421;1961;4;21;3245000;6975000;2.3;8.7;-5.3;0;15954;4.52
;;;Laihia;1526;19610422;1961;4;22;3245000;6975000;5;11.6;-1.2;0;14728;5.45
