OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Sodankyla;1060;20040101;2004;1;1;484068;7472300;-29.6;-22.8;-33.4;0.1;20.3;0.29
;;;Sodankyla;1060;20040102;2004;1;2;484068;7472300;-22;-18.5;-26;0.1;24.8;0.68
;;;Sodankyla;1060;20040103;2004;1;3;484068;7472300;-18.9;-14.5;-23.4;0.9;29.2;0.96
;;;Sodankyla;1060;20040104;2004;1;4;484068;7472300;-14.7;-13.3;-16.6;0.2;32.4;1.47
;;;Sodankyla;1060;20040105;2004;1;5;484068;7472300;-15.5;-14;-18.1;0.2;34.8;1.36
;;;Sodankyla;1060;20040106;2004;1;6;484068;7472300;-15.2;-12.9;-17.4;0.1;17.5;1.39
;;;Sodankyla;1060;20040107;2004;1;7;484068;7472300;-10.1;-3.3;-17.7;2.4;70.1;2.32
;;;Sodankyla;1060;20040108;2004;1;8;484068;7472300;-2.8;-1.8;-3.7;0.1;54.1;4.56
;;;Sodankyla;1060;20040109;2004;1;9;484068;7472300;-3.6;-1.2;-6;0.4;61.7;4.17
;;;Sodankyla;1060;20040110;2004;1;10;484068;7472300;-4.8;-1.2;-6.2;0;82.1;3.72
;;;Sodankyla;1060;20040111;2004;1;11;484068;7472300;-4.5;-3.5;-5.4;1.1;66;3.77
;;;Sodankyla;1060;20040112;2004;1;12;484068;7472300;-8.4;-4.4;-9;0.3;80.2;2.7
;;;Sodankyla;1060;20040113;2004;1;13;484068;7472300;-9.5;-6.9;-11.8;0.3;84.4;2.41
;;;Sodankyla;1060;20040114;2004;1;14;484068;7472300;-5.8;-4.6;-7;1.3;92.1;3.43
;;;Sodankyla;1060;20040115;2004;1;15;484068;7472300;-6.2;-5;-7.5;1.4;69.8;3.35
;;;Sodankyla;1060;20040116;2004;1;16;484068;7472300;-7.8;-5.8;-10.6;4.1;65.9;2.89
;;;Sodankyla;1060;20040117;2004;1;17;484068;7472300;-14.4;-10;-19.5;0.8;95.4;1.5
;;;Sodankyla;1060;20040118;2004;1;18;484068;7472300;-16.8;-14.5;-21.1;0.6;141.6;1.18
;;;Sodankyla;1060;20040119;2004;1;19;484068;7472300;-14.6;-9.5;-18.4;0.5;132.6;1.46
;;;Sodankyla;1060;20040120;2004;1;20;484068;7472300;-19;-12.6;-25.4;0.1;260.1;0.92
;;;Sodankyla;1060;20040121;2004;1;21;484068;7472300;-13.6;-9.5;-17.1;0;150.9;1.58
;;;Sodankyla;1060;20040122;2004;1;22;484068;7472300;-22.4;-15.5;-31;0.1;442.4;0.64
;;;Sodankyla;1060;20040123;2004;1;23;484068;7472300;-5.7;-4.8;-15.5;0.6;259.3;3.39
;;;Sodankyla;1060;20040124;2004;1;24;484068;7472300;-2.8;-1.5;-5;1;213.1;4.5
;;;Sodankyla;1060;20040125;2004;1;25;484068;7472300;-1.8;-0.4;-3.3;0.2;150.3;4.83
;;;Sodankyla;1060;20040126;2004;1;26;484068;7472300;-7.5;-3;-9.5;1.3;207;2.86
;;;Sodankyla;1060;20040127;2004;1;27;484068;7472300;-7;-4.4;-9.6;2.6;177.9;3.02
;;;Sodankyla;1060;20040128;2004;1;28;484068;7472300;-9.4;-4.5;-15.7;2.2;273.3;2.42
;;;Sodankyla;1060;20040129;2004;1;29;484068;7472300;-11.1;-8.2;-17.4;1;341.8;2.08
;;;Sodankyla;1060;20040130;2004;1;30;484068;7472300;-12;-9;-16.1;3.5;324.5;1.93
;;;Sodankyla;1060;20040131;2004;1;31;484068;7472300;-11.8;-9.3;-16.5;3.9;605.9;1.94
;;;Sodankyla;1060;20040201;2004;2;1;484068;7472300;-9.6;-4.6;-13.5;0.5;527;2.35
;;;Sodankyla;1060;20040202;2004;2;2;484068;7472300;-13.8;-12.3;-19.7;6.1;986.7;1.59
;;;Sodankyla;1060;20040203;2004;2;3;484068;7472300;-9.5;-2.6;-17.1;0.7;567.6;2.39
;;;Sodankyla;1060;20040204;2004;2;4;484068;7472300;-9.3;-5.3;-21.1;9.9;388.8;2.52
;;;Sodankyla;1060;20040205;2004;2;5;484068;7472300;-9.6;-4.3;-15.6;0.4;1255.1;2.38
;;;Sodankyla;1060;20040206;2004;2;6;484068;7472300;-13.2;-9.2;-19.7;1.6;745.3;1.7
;;;Sodankyla;1060;20040207;2004;2;7;484068;7472300;-20.3;-13;-24.4;0.1;1265.4;0.81
;;;Sodankyla;1060;20040208;2004;2;8;484068;7472300;-21.3;-18.9;-24.3;1.8;986;0.74
;;;Sodankyla;1060;20040209;2004;2;9;484068;7472300;-21.4;-16.2;-30.5;1.4;1493.9;0.72
;;;Sodankyla;1060;20040210;2004;2;10;484068;7472300;-22.3;-13.2;-27.6;0;1856.3;0.64
;;;Sodankyla;1060;20040211;2004;2;11;484068;7472300;-26.1;-12.8;-34.6;0;2283.6;0.43
