OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;
;;;Lohja;178;19610201;1961;2;1;3325000;6695000;0.3;1.5;-1.5;0;1258;5.86;
;;;Lohja;178;19610202;1961;2;2;3325000;6695000;0.5;0.9;-0.3;3;1402;5.99;
;;;Lohja;178;19610203;1961;2;3;3325000;6695000;0;0.6;-0.1;0;1408;6.13;
;;;Lohja;178;19610204;1961;2;4;3325000;6695000;-1.7;0.1;-2;1;1924;5.34;
;;;Lohja;178;19610205;1961;2;5;3325000;6695000;-5.7;-1.4;-8.1;0;2064;3.92;
;;;Lohja;178;19610206;1961;2;6;3325000;6695000;-4.8;-1.4;-10.6;2;1695;3.51;
;;;Lohja;178;19610207;1961;2;7;3325000;6695000;-0.2;0.3;-1.9;4;1361;5.49;
;;;Lohja;178;19610208;1961;2;8;3325000;6695000;-1;1.6;0.1;0;2068;5.94;
;;;Lohja;178;19610209;1961;2;9;3325000;6695000;-5.7;1.3;-9.9;0;3513;3.53;
;;;Lohja;178;19610210;1961;2;10;3325000;6695000;-4.9;-3.2;-14;4;1664;3.79;
;;;Lohja;178;19610211;1961;2;11;3325000;6695000;0.5;2;-3.4;0;1553;6.48;
;;;Lohja;178;19610212;1961;2;12;3325000;6695000;-0.5;2;-1.7;0;2309;5.79;
;;;Lohja;178;19610213;1961;2;13;3325000;6695000;-2.4;0.2;-7.5;0;3666;4.34;
;;;Lohja;178;19610214;1961;2;14;3325000;6695000;0.4;2.4;-6.8;0;1657;6.48;
;;;Lohja;178;19610215;1961;2;15;3325000;6695000;1;3.6;-1.5;0;4191;5.48;
;;;Lohja;178;19610216;1961;2;16;3325000;6695000;0.1;3;-4.9;0;1915;5.36;
;;;Lohja;178;19610217;1961;2;17;3325000;6695000;1.6;4.5;0;0;3245;6.21;
;;;Lohja;178;19610218;1961;2;18;3325000;6695000;1.4;4.4;0.6;0;3591;6.2;
;;;Lohja;178;19610219;1961;2;19;3325000;6695000;0.1;2.2;-2;0;2520;5.78;
;;;Lohja;178;19610220;1961;2;20;3325000;6695000;0.8;4.8;-2.2;0;2278;5.86;
;;;Lohja;178;19610221;1961;2;21;3325000;6695000;1.7;6.3;-1.4;0;4960;5.66;
;;;Lohja;178;19610222;1961;2;22;3325000;6695000;1;5.7;-2.2;0;5140;4.7;
;;;Lohja;178;19610223;1961;2;23;3325000;6695000;-1.2;3.4;-2.3;0;4191;5.18;
;;;Lohja;178;19610224;1961;2;24;3325000;6695000;-1.1;5.3;-6.7;0;5653;4.95;
;;;Lohja;178;19610225;1961;2;25;3325000;6695000;-0.7;0.1;-1.9;0;2107;5.42;
;;;Lohja;178;19610226;1961;2;26;3325000;6695000;-0.1;0;-1;0;2352;5.41;
