OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Sotkamo;1060;20040101;2004;1;1;565100;7110174;-24.9;-13.2;-28.3;0;187.5;0.5
;;;Sotkamo;1060;20040102;2004;1;2;565100;7110174;-19.2;-10.8;-30.3;0;93.9;0.96
;;;Sotkamo;1060;20040103;2004;1;3;565100;7110174;-13;-11;-14.3;1.4;126.1;1.78
;;;Sotkamo;1060;20040104;2004;1;4;565100;7110174;-13.9;-12.5;-16.9;1.6;44.5;1.63
;;;Sotkamo;1060;20040105;2004;1;5;565100;7110174;-13.5;-11.1;-16.9;0;103.9;1.68
;;;Sotkamo;1060;20040106;2004;1;6;565100;7110174;-19.4;-16.3;-22.2;0.4;4.9;0.92
;;;Sotkamo;1060;20040107;2004;1;7;565100;7110174;-10.6;-5.5;-19.3;1.9;175.5;2.27
;;;Sotkamo;1060;20040108;2004;1;8;565100;7110174;-5.6;-5.3;-6;3.2;98.9;3.53
;;;Sotkamo;1060;20040109;2004;1;9;565100;7110174;-5.2;-4.9;-5.6;0;89.7;3.77
;;;Sotkamo;1060;20040110;2004;1;10;565100;7110174;-8.3;-5.1;-9.5;0;206.9;2.78
;;;Sotkamo;1060;20040111;2004;1;11;565100;7110174;-13.1;-8.9;-18.9;0.4;309.4;1.71
;;;Sotkamo;1060;20040112;2004;1;12;565100;7110174;-13.9;-12.3;-18.8;0.2;121.1;1.62
;;;Sotkamo;1060;20040113;2004;1;13;565100;7110174;-6.9;-4;-12.9;1.6;62.8;3.21
;;;Sotkamo;1060;20040114;2004;1;14;565100;7110174;-5.9;-3.3;-7.8;0.3;316.5;3.49
;;;Sotkamo;1060;20040115;2004;1;15;565100;7110174;-8.8;-6.4;-11.4;5.4;233.5;2.65
;;;Sotkamo;1060;20040116;2004;1;16;565100;7110174;-10.3;-8.6;-13.6;1.6;184;2.33
;;;Sotkamo;1060;20040117;2004;1;17;565100;7110174;-11;-9.9;-13.1;1.8;136.1;2.17
;;;Sotkamo;1060;20040118;2004;1;18;565100;7110174;-9.5;-8.5;-10.5;1.2;110.6;2.51
;;;Sotkamo;1060;20040119;2004;1;19;565100;7110174;-12;-8.7;-13.6;0.4;151.2;1.96
;;;Sotkamo;1060;20040120;2004;1;20;565100;7110174;-16.4;-13.4;-18.7;0.8;476.4;1.26
;;;Sotkamo;1060;20040121;2004;1;21;565100;7110174;-13.9;-10;-17.9;0.6;417.5;1.62
;;;Sotkamo;1060;20040122;2004;1;22;565100;7110174;-18.1;-11.4;-20.7;0;419.2;1.04
;;;Sotkamo;1060;20040123;2004;1;23;565100;7110174;-13.7;-8.8;-25.5;0.6;666.4;1.68
;;;Sotkamo;1060;20040124;2004;1;24;565100;7110174;-2.4;-0.3;-8.8;0.8;322.8;4.83
;;;Sotkamo;1060;20040125;2004;1;25;565100;7110174;-4.7;-0.3;-7.4;0;359.6;3.7
;;;Sotkamo;1060;20040126;2004;1;26;565100;7110174;-9.7;-7.4;-10.3;1.6;405.4;2.44
;;;Sotkamo;1060;20040127;2004;1;27;565100;7110174;-7.1;-4.6;-10.1;2.4;478.4;2.98
;;;Sotkamo;1060;20040128;2004;1;28;565100;7110174;-8;-6.7;-8.8;1.5;770.4;2.82
;;;Sotkamo;1060;20040129;2004;1;29;565100;7110174;-7.7;-6.2;-10;4.2;543.1;2.91
;;;Sotkamo;1060;20040130;2004;1;30;565100;7110174;-8.1;-7.5;-8.8;2.4;798.2;2.84
;;;Sotkamo;1060;20040131;2004;1;31;565100;7110174;-7.3;-6.6;-8.8;6.1;546.7;2.97
;;;Sotkamo;1060;20040201;2004;2;1;565100;7110174;-4.7;-3.4;-6.9;4.2;292.1;3.83
;;;Sotkamo;1060;20040202;2004;2;2;565100;7110174;-9.5;-4.6;-13.5;2.2;667;2.52
;;;Sotkamo;1060;20040203;2004;2;3;565100;7110174;-6;-4.8;-8.8;8.6;426.2;3.39
;;;Sotkamo;1060;20040204;2004;2;4;565100;7110174;-1.8;0.8;-4.9;16.2;436.3;5.12
;;;Sotkamo;1060;20040205;2004;2;5;565100;7110174;-5.3;0.8;-7.9;0;962.7;3.71
;;;Sotkamo;1060;20040206;2004;2;6;565100;7110174;-10;-6.7;-13.5;0.9;1031.7;2.36
;;;Sotkamo;1060;20040207;2004;2;7;565100;7110174;-13;-9.7;-14;0.3;1403.8;1.76
;;;Sotkamo;1060;20040208;2004;2;8;565100;7110174;-22.4;-13.9;-26.9;0.2;1541.2;0.67
;;;Sotkamo;1060;20040209;2004;2;9;565100;7110174;-18.7;-16.2;-21.2;0.3;1704.5;0.99
;;;Sotkamo;1060;20040210;2004;2;10;565100;7110174;-18.8;-13.8;-23;0.4;1752.3;0.97
;;;Sotkamo;1060;20040211;2004;2;11;565100;7110174;-21.8;-15.4;-24;0;2892.2;0.69
;;;Sotkamo;1060;20040212;2004;2;12;565100;7110174;-19.3;-10.4;-29.6;1.5;1604;0.92
;;;Sotkamo;1060;20040213;2004;2;13;565100;7110174;-6.5;-5.8;-10.5;5.6;1334;3.39
;;;Sotkamo;1060;20040214;2004;2;14;565100;7110174;-6;-2;-8;0.9;1550.9;3.48
;;;Sotkamo;1060;20040215;2004;2;15;565100;7110174;-4.1;-3;-7;0;1582.5;4.02
;;;Sotkamo;1060;20040216;2004;2;16;565100;7110174;-9.7;-3.8;-15.3;1;3690;2.29
;;;Sotkamo;1060;20040217;2004;2;17;565100;7110174;-13.7;-11.4;-18.3;0.2;2976.9;1.62
;;;Sotkamo;1060;20040218;2004;2;18;565100;7110174;-18.1;-13.4;-23.8;0;4085.7;1
;;;Sotkamo;1060;20040219;2004;2;19;565100;7110174;-9.7;-7.1;-17.9;1.6;1455.8;2.49
;;;Sotkamo;1060;20040220;2004;2;20;565100;7110174;-0.9;4.1;-7.5;0;2857.9;5.26
;;;Sotkamo;1060;20040221;2004;2;21;565100;7110174;2;4.1;0.1;0;3241.7;5.94
;;;Sotkamo;1060;20040222;2004;2;22;565100;7110174;-2.6;0.8;-4.6;0;3501.8;4.17
;;;Sotkamo;1060;20040223;2004;2;23;565100;7110174;-9.8;-3.7;-12.2;0;3369.1;2.32
;;;Sotkamo;1060;20040224;2004;2;24;565100;7110174;-15;-7.9;-23.5;0.4;5094.6;1.43
;;;Sotkamo;1060;20040225;2004;2;25;565100;7110174;-8.6;-7.3;-12.3;0.4;3463.3;2.5
;;;Sotkamo;1060;20040226;2004;2;26;565100;7110174;-5.5;-3.8;-7.5;2.2;1832.8;3.52
;;;Sotkamo;1060;20040227;2004;2;27;565100;7110174;-3.4;-1;-6.1;1.5;2659.5;4.32
;;;Sotkamo;1060;20040228;2004;2;28;565100;7110174;-7.6;-5.1;-9.4;0;2646.9;2.97
;;;Sotkamo;1060;20040229;2004;2;29;565100;7110174;-10.5;-8.2;-14.6;5.4;4898.1;2.14
;;;Sotkamo;1060;20040301;2004;3;1;565100;7110174;-7;-2.6;-10.5;1.2;2625.7;2.99
;;;Sotkamo;1060;20040302;2004;3;2;565100;7110174;-12.9;-8.8;-19.2;0.2;3102;1.72
;;;Sotkamo;1060;20040303;2004;3;3;565100;7110174;-9.8;-4.9;-13.4;0;7152.2;2.12
;;;Sotkamo;1060;20040304;2004;3;4;565100;7110174;-8.5;-4.9;-11.2;0;7346;1.9
;;;Sotkamo;1060;20040305;2004;3;5;565100;7110174;-9;-4.2;-11.5;0;6796.6;2.35
;;;Sotkamo;1060;20040306;2004;3;6;565100;7110174;-11.1;-5.7;-17;0;5226.4;1.92
;;;Sotkamo;1060;20040307;2004;3;7;565100;7110174;-4.6;-0.7;-10.6;0;3003;3.14
;;;Sotkamo;1060;20040308;2004;3;8;565100;7110174;-4.4;-0.4;-11.2;0;8227.7;3.48
;;;Sotkamo;1060;20040309;2004;3;9;565100;7110174;-7.5;0.6;-17.8;0;8419;2.32
;;;Sotkamo;1060;20040310;2004;3;10;565100;7110174;-2.3;4.2;-7.7;0;8184.6;4.05
;;;Sotkamo;1060;20040311;2004;3;11;565100;7110174;-3.4;0;-4.8;0;6769.3;4.48
;;;Sotkamo;1060;20040312;2004;3;12;565100;7110174;-2.4;3.3;-4.9;0;6638.4;4.54
;;;Sotkamo;1060;20040313;2004;3;13;565100;7110174;-6.6;1.3;-10.9;0;8455.4;3.02
;;;Sotkamo;1060;20040314;2004;3;14;565100;7110174;-3.8;3.7;-15.9;0;8582.4;3.2
;;;Sotkamo;1060;20040315;2004;3;15;565100;7110174;0.6;2.6;-0.7;1.6;1976.7;5.65
;;;Sotkamo;1060;20040316;2004;3;16;565100;7110174;1;1.9;0.1;2.8;2515;6.41
;;;Sotkamo;1060;20040317;2004;3;17;565100;7110174;0;1.7;-2.2;1.2;4771.4;5.34
;;;Sotkamo;1060;20040318;2004;3;18;565100;7110174;-0.6;0.4;-3.6;4.1;3003.5;5.6
;;;Sotkamo;1060;20040319;2004;3;19;565100;7110174;-0.2;1.2;-2.1;0;5216.3;5.51
;;;Sotkamo;1060;20040320;2004;3;20;565100;7110174;1.1;4.3;-0.5;0;5308.6;5.57
;;;Sotkamo;1060;20040321;2004;3;21;565100;7110174;-0.3;1.9;-1;0.8;4656;5.16
;;;Sotkamo;1060;20040322;2004;3;22;565100;7110174;-3.4;-0.5;-4.3;1.8;4630.2;3.81
;;;Sotkamo;1060;20040323;2004;3;23;565100;7110174;-3.8;-1.6;-5.2;1.6;5213;3.84
;;;Sotkamo;1060;20040324;2004;3;24;565100;7110174;-3.9;-2.3;-5.8;1.2;3936.8;3.9
;;;Sotkamo;1060;20040325;2004;3;25;565100;7110174;-4.3;-2.6;-6.3;0;6412.6;3.51
;;;Sotkamo;1060;20040326;2004;3;26;565100;7110174;-4.7;-1.5;-8.7;0;11377.8;2.75
;;;Sotkamo;1060;20040327;2004;3;27;565100;7110174;-4.2;0.1;-8.2;2.3;9628.2;3.36
;;;Sotkamo;1060;20040328;2004;3;28;565100;7110174;-1;1.7;-2.5;1.1;7249.2;4.99
;;;Sotkamo;1060;20040329;2004;3;29;565100;7110174;-1.5;2.4;-8.8;0.6;13009.1;3.62
;;;Sotkamo;1060;20040330;2004;3;30;565100;7110174;-0.6;1.1;-3.5;4.4;6038.5;5.45
;;;Sotkamo;1060;20040331;2004;3;31;565100;7110174;-2.9;-0.4;-3.8;0.1;11521.6;3.2
;;;Sotkamo;1060;20040401;2004;4;1;565100;7110174;-7.7;-3;-12.7;0;15438;1.81
