OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Punkaharju;1001;19610101;1961;1;1;3635000;6865000;-2.2;-1.8;-3.8;5;192;-999
;;;Punkaharju;1001;19610102;1961;1;2;3635000;6865000;-1.8;-0.8;-2;2;174;5.39
;;;Punkaharju;1001;19610103;1961;1;3;3635000;6865000;-3;-1.5;-4.9;0;208;4.65
;;;Punkaharju;1001;19610104;1961;1;4;3635000;6865000;-1.9;-0.8;-4.4;0;220;4.93
;;;Punkaharju;1001;19610105;1961;1;5;3635000;6865000;0.3;1;-1.1;2;222;6.17
;;;Punkaharju;1001;19610106;1961;1;6;3635000;6865000;0.1;1.6;0.3;6;222;6.08
;;;Punkaharju;1001;19610107;1961;1;7;3635000;6865000;-0.6;0.5;-2.3;0;246;5.17
;;;Punkaharju;1001;19610108;1961;1;8;3635000;6865000;-1.3;-0.2;-1.4;1;237;5.51
;;;Punkaharju;1001;19610109;1961;1;9;3635000;6865000;-3.5;-1.1;-4;6;249;5.06
;;;Punkaharju;1001;19610110;1961;1;10;3635000;6865000;-8;-4.4;-18.3;1;363;2.42
;;;Punkaharju;1001;19610111;1961;1;11;3635000;6865000;-3.2;0.1;-13.9;4;287;5.46
;;;Punkaharju;1001;19610112;1961;1;12;3635000;6865000;-2.9;0.4;-6.7;0;266;4.82
;;;Punkaharju;1001;19610113;1961;1;13;3635000;6865000;-3.3;-1.3;-7.3;7;303;4.53
;;;Punkaharju;1001;19610114;1961;1;14;3635000;6865000;-1.9;-1.1;-3.1;1;291;4.84
;;;Punkaharju;1001;19610115;1961;1;15;3635000;6865000;-3.7;-0.3;-2.7;4;353;4.77
;;;Punkaharju;1001;19610116;1961;1;16;3635000;6865000;-12.4;-2;-14.7;0;547;2.15
;;;Punkaharju;1001;19610117;1961;1;17;3635000;6865000;-18.3;-15.5;-26;0;521;0.98
;;;Punkaharju;1001;19610118;1961;1;18;3635000;6865000;-11.2;-6.5;-25.8;0;337;2.23
;;;Punkaharju;1001;19610119;1961;1;19;3635000;6865000;-5.6;-4.6;-6.5;0;331;3.85
;;;Punkaharju;1001;19610120;1961;1;20;3635000;6865000;-5;-4.8;-4.9;0;432;3.9
;;;Punkaharju;1001;19610121;1961;1;21;3635000;6865000;-7.9;-5;-9.2;0;396;3.14
;;;Punkaharju;1001;19610122;1961;1;22;3635000;6865000;-13.4;-8.3;-21.2;0;657;1.67
;;;Punkaharju;1001;19610123;1961;1;23;3635000;6865000;-11;-7.2;-17.2;0;667;2.76
;;;Punkaharju;1001;19610124;1961;1;24;3635000;6865000;-13.4;-8;-17.3;0;753;1.67
;;;Punkaharju;1001;19610125;1961;1;25;3635000;6865000;-11.6;-10.1;-17.1;0;517;2.07
;;;Punkaharju;1001;19610126;1961;1;26;3635000;6865000;-8.3;-7.6;-10.7;0;668;2.61
;;;Punkaharju;1001;19610127;1961;1;27;3635000;6865000;-5;-3.8;-8;1;649;3.63
;;;Punkaharju;1001;19610128;1961;1;28;3635000;6865000;-3.3;-0.9;-5.2;2;512;4.61
;;;Punkaharju;1001;19610129;1961;1;29;3635000;6865000;-0.9;-0.6;-3.4;1;554;4.82
;;;Punkaharju;1001;19610130;1961;1;30;3635000;6865000;0.5;1.6;-2.5;10;527;6.22
;;;Punkaharju;1001;19610131;1961;1;31;3635000;6865000;-0.2;1.4;-2.5;2;495;5.78
;;;Punkaharju;1001;19610201;1961;2;1;3635000;6865000;-6.1;-2.2;-7.4;2;544;3.48
;;;Punkaharju;1001;19610202;1961;2;2;3635000;6865000;-3.4;-0.9;-7.6;2;732;4.56
;;;Punkaharju;1001;19610203;1961;2;3;3635000;6865000;-0.8;0.5;-1.6;1;581;5.83
;;;Punkaharju;1001;19610204;1961;2;4;3635000;6865000;-2.9;-0.2;-5.4;9;721;4.94
;;;Punkaharju;1001;19610205;1961;2;5;3635000;6865000;-6.9;-3.7;-6.8;1;744;3.46
;;;Punkaharju;1001;19610206;1961;2;6;3635000;6865000;-10.4;-6.9;-17.2;0;1583;1.94
;;;Punkaharju;1001;19610207;1961;2;7;3635000;6865000;-5.9;-3.1;-15.3;0;632;3.79
;;;Punkaharju;1001;19610208;1961;2;8;3635000;6865000;-2.3;-0.2;-4.5;1;700;4.72
;;;Punkaharju;1001;19610209;1961;2;9;3635000;6865000;-2.4;-0.4;-2.3;2;1427;4.47
;;;Punkaharju;1001;19610210;1961;2;10;3635000;6865000;-5.2;-2.9;-6.6;0;1368;3.22
;;;Punkaharju;1001;19610211;1961;2;11;3635000;6865000;-3.9;-0.5;-11.7;1;734;4.19
;;;Punkaharju;1001;19610212;1961;2;12;3635000;6865000;0;0.7;0.3;0;640;5.85
;;;Punkaharju;1001;19610213;1961;2;13;3635000;6865000;-3.5;-0.9;-8.2;0;1408;3.67
;;;Punkaharju;1001;19610214;1961;2;14;3635000;6865000;-2.3;0.9;-15;5;877;4.63
;;;Punkaharju;1001;19610215;1961;2;15;3635000;6865000;-0.5;2.5;-1.8;0;1682;5.14
;;;Punkaharju;1001;19610216;1961;2;16;3635000;6865000;-2.4;-0.3;-8.8;0;1205;4.03
;;;Punkaharju;1001;19610217;1961;2;17;3635000;6865000;1.4;1.9;-0.5;0;795;5.94
;;;Punkaharju;1001;19610218;1961;2;18;3635000;6865000;3.5;6.5;2;0;1712;6.25
;;;Punkaharju;1001;19610219;1961;2;19;3635000;6865000;0.4;4.7;-2.3;0;1682;5.17
;;;Punkaharju;1001;19610220;1961;2;20;3635000;6865000;-0.2;2.7;-6.6;1;1033;5.26
