OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Rovaniemi;2912;19610101;1961;1;1;3435000;7375000;-6.3;-3.8;-6.9;0;0;-999
;;;Rovaniemi;2912;19610102;1961;1;2;3435000;7375000;-5.9;-4.9;-7.2;3;0;3.68
;;;Rovaniemi;2912;19610103;1961;1;3;3435000;7375000;-4.8;-3;-7.1;1;1;4.08
;;;Rovaniemi;2912;19610104;1961;1;4;3435000;7375000;-3.2;-0.8;-4.8;0;9;4.65
;;;Rovaniemi;2912;19610105;1961;1;5;3435000;7375000;-3.8;-2.8;-4.4;4;1;4.57
;;;Rovaniemi;2912;19610106;1961;1;6;3435000;7375000;-8.9;-0.7;-13.4;0;0;3.1
;;;Rovaniemi;2912;19610107;1961;1;7;3435000;7375000;-14.9;-11.7;-17.9;0;16;1.76
;;;Rovaniemi;2912;19610108;1961;1;8;3435000;7375000;-11.3;-9.4;-16.1;1;3;2.71
;;;Rovaniemi;2912;19610109;1961;1;9;3435000;7375000;-10.2;-7;-12.8;0;7;3.03
;;;Rovaniemi;2912;19610110;1961;1;10;3435000;7375000;-10;-8.2;-15.3;0;28;2.96
;;;Rovaniemi;2912;19610111;1961;1;11;3435000;7375000;-8.5;-6.8;-9.6;4;54;3.27
;;;Rovaniemi;2912;19610112;1961;1;12;3435000;7375000;-12.9;-7.1;-16;0;33;1.94
;;;Rovaniemi;2912;19610113;1961;1;13;3435000;7375000;-10.7;-9.1;-14.3;0;66;2.77
;;;Rovaniemi;2912;19610114;1961;1;14;3435000;7375000;-10.6;-7.5;-12.2;1;137;2.57
;;;Rovaniemi;2912;19610115;1961;1;15;3435000;7375000;-12.8;-9.4;-15.7;0;150;2.19
;;;Rovaniemi;2912;19610116;1961;1;16;3435000;7375000;-18.2;-11.7;-23.5;0;130;1.23
;;;Rovaniemi;2912;19610117;1961;1;17;3435000;7375000;-8.2;-3.3;-19.4;0;112;3.4
;;;Rovaniemi;2912;19610118;1961;1;18;3435000;7375000;-4.1;-2.4;-5.2;0;153;4.76
;;;Rovaniemi;2912;19610119;1961;1;19;3435000;7375000;-4.6;-3.5;-6.5;0;158;4.35
;;;Rovaniemi;2912;19610120;1961;1;20;3435000;7375000;-5;-3.1;-5.9;0;166;4.1
;;;Rovaniemi;2912;19610121;1961;1;21;3435000;7375000;-8;-5.1;-10.7;0;179;3.13
;;;Rovaniemi;2912;19610122;1961;1;22;3435000;7375000;-9.8;-8.9;-11.5;0;180;2.78
;;;Rovaniemi;2912;19610123;1961;1;23;3435000;7375000;-9.2;-4.4;-14.2;0;527;2.63
;;;Rovaniemi;2912;19610124;1961;1;24;3435000;7375000;-13.9;-10.2;-17.4;0;386;1.76
;;;Rovaniemi;2912;19610125;1961;1;25;3435000;7375000;-13.5;-7;-20.7;0;406;2.07
;;;Rovaniemi;2912;19610126;1961;1;26;3435000;7375000;-11.7;-7.6;-14.5;0;586;2.39
