OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Jokioinen;1060;20040101;2004;1;1;309560;6747150;-11.3;-4;-15.9;0;1121.6;2.01
;;;Jokioinen;1060;20040102;2004;1;2;309560;6747150;-19.3;-15.6;-21.8;0;1111.9;0.91
;;;Jokioinen;1060;20040103;2004;1;3;309560;6747150;-16.4;-9.3;-24.7;0;1295.1;1.26
;;;Jokioinen;1060;20040104;2004;1;4;309560;6747150;-4.6;-3.1;-9.5;3.6;364.7;3.9
;;;Jokioinen;1060;20040105;2004;1;5;309560;6747150;-3.8;-2.4;-5.4;0.5;277;4.21
;;;Jokioinen;1060;20040106;2004;1;6;309560;6747150;-4.7;-3.8;-6.3;0.4;506.4;3.86
;;;Jokioinen;1060;20040107;2004;1;7;309560;6747150;-3.4;-2.3;-5.4;0.1;914.7;4.18
;;;Jokioinen;1060;20040108;2004;1;8;309560;6747150;-3.6;-3.1;-4.5;2.6;248.4;4.17
;;;Jokioinen;1060;20040109;2004;1;9;309560;6747150;-5.4;-3.1;-8;0.1;545.9;3.62
;;;Jokioinen;1060;20040110;2004;1;10;309560;6747150;-11;-7.9;-17.5;0.1;471.5;2.13
;;;Jokioinen;1060;20040111;2004;1;11;309560;6747150;-7.8;-6.5;-9.8;0.2;381.6;2.83
;;;Jokioinen;1060;20040112;2004;1;12;309560;6747150;-5.9;-4.9;-7.6;1;365.9;3.38
;;;Jokioinen;1060;20040113;2004;1;13;309560;6747150;0.5;0.8;-5;2.2;339.9;6.23
;;;Jokioinen;1060;20040114;2004;1;14;309560;6747150;-2.8;0.3;-5.2;0.2;329.2;4.54
;;;Jokioinen;1060;20040115;2004;1;15;309560;6747150;-5.8;-4.7;-7;0.1;914;3.41
;;;Jokioinen;1060;20040116;2004;1;16;309560;6747150;-8.7;-6.5;-12;0.1;739.6;2.7
;;;Jokioinen;1060;20040117;2004;1;17;309560;6747150;-5.2;-3.6;-7.5;0.1;581.8;3.75
;;;Jokioinen;1060;20040118;2004;1;18;309560;6747150;-6.8;-3.6;-14;0.4;759.8;3.24
;;;Jokioinen;1060;20040119;2004;1;19;309560;6747150;-7.2;-3.5;-10.4;0.1;685.4;3
;;;Jokioinen;1060;20040120;2004;1;20;309560;6747150;-15.2;-10.1;-16.7;0.2;2320.5;1.37
;;;Jokioinen;1060;20040121;2004;1;21;309560;6747150;-14.6;-11.4;-19.9;0.4;2028.9;1.47
;;;Jokioinen;1060;20040122;2004;1;22;309560;6747150;-14.5;-10.8;-16.9;0.1;2017.5;1.49
