OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Siikajoki;2382;19610101;1961;1;1;3405000;7175000;-5.7;-4.4;-6.4;2;113;4.5
;;;Siikajoki;2382;19610102;1961;1;2;3405000;7175000;-4.4;-4.1;-6.5;2;104;4.06
;;;Siikajoki;2382;19610103;1961;1;3;3405000;7175000;-2.9;-1.9;-6.7;0;139;4.76
;;;Siikajoki;2382;19610104;1961;1;4;3405000;7175000;-2.7;-1;-3.8;1;150;4.4
;;;Siikajoki;2382;19610105;1961;1;5;3405000;7175000;-1.4;1.2;-2.8;4;152;5.33
;;;Siikajoki;2382;19610106;1961;1;6;3405000;7175000;-2.9;1.2;-5.9;0;147;4.21
;;;Siikajoki;2382;19610107;1961;1;7;3405000;7175000;-4.6;-3;-5.5;1;190;3.91
;;;Siikajoki;2382;19610108;1961;1;8;3405000;7175000;-4.3;-3;-5.5;2;176;3.97
;;;Siikajoki;2382;19610109;1961;1;9;3405000;7175000;-5.9;-3;-7.5;1;227;3.13
;;;Siikajoki;2382;19610110;1961;1;10;3405000;7175000;-6.3;-5.5;-9.7;1;237;2.8
;;;Siikajoki;2382;19610111;1961;1;11;3405000;7175000;-6.2;-3.5;-9.6;1;248;3.7
;;;Siikajoki;2382;19610112;1961;1;12;3405000;7175000;-8.6;-5.5;-11.6;0;237;2.62
;;;Siikajoki;2382;19610113;1961;1;13;3405000;7175000;-6.1;-3.5;-12.6;0;275;3.89
;;;Siikajoki;2382;19610114;1961;1;14;3405000;7175000;-5.4;-3.7;-8.7;1;393;3.37
;;;Siikajoki;2382;19610115;1961;1;15;3405000;7175000;-9.6;-1.2;-11.8;0;426;3.29
;;;Siikajoki;2382;19610116;1961;1;16;3405000;7175000;-17.2;-10.2;-24.1;0;472;0.97
;;;Siikajoki;2382;19610117;1961;1;17;3405000;7175000;-10;-4.8;-23.5;0;373;2.31
;;;Siikajoki;2382;19610118;1961;1;18;3405000;7175000;-3.5;-2.8;-4.9;0;359;4.49
;;;Siikajoki;2382;19610119;1961;1;19;3405000;7175000;-3.4;-2.7;-3.4;0;365;4.57
;;;Siikajoki;2382;19610120;1961;1;20;3405000;7175000;-5.3;-3.4;-5.9;0;311;3.76
;;;Siikajoki;2382;19610121;1961;1;21;3405000;7175000;-7.4;-5.8;-10.6;0;384;2.94
;;;Siikajoki;2382;19610122;1961;1;22;3405000;7175000;-8.4;-7.4;-9.9;0;391;2.83
;;;Siikajoki;2382;19610123;1961;1;23;3405000;7175000;-10.9;-7.2;-12.8;0;860;2.5
;;;Siikajoki;2382;19610124;1961;1;24;3405000;7175000;-13.8;-11.4;-17.5;0;775;1.56
;;;Siikajoki;2382;19610125;1961;1;25;3405000;7175000;-10.4;-8;-17.1;0;692;1.93
;;;Siikajoki;2382;19610126;1961;1;26;3405000;7175000;-9;-5;-13.2;0;940;2.39
;;;Siikajoki;2382;19610127;1961;1;27;3405000;7175000;-8.5;-8;-15.3;2;675;2.67
;;;Siikajoki;2382;19610128;1961;1;28;3405000;7175000;-3.8;-1;-8.4;2;656;4.28
;;;Siikajoki;2382;19610129;1961;1;29;3405000;7175000;-1.1;1.8;-1.9;5;884;4.91
;;;Siikajoki;2382;19610130;1961;1;30;3405000;7175000;-2.3;-0.3;-2.9;7;706;5.16
;;;Siikajoki;2382;19610131;1961;1;31;3405000;7175000;-7.2;-2.7;-9.5;2;705;3.06
;;;Siikajoki;2382;19610201;1961;2;1;3405000;7175000;-11.9;-9.4;-15.1;0;884;2.2
;;;Siikajoki;2382;19610202;1961;2;2;3405000;7175000;-10.8;-7.6;-18.7;0;1090;2.44
;;;Siikajoki;2382;19610203;1961;2;3;3405000;7175000;-6.5;-5;-9.1;4;919;3.57
;;;Siikajoki;2382;19610204;1961;2;4;3405000;7175000;-7.5;-6.1;-7.7;1;628;3.02
;;;Siikajoki;2382;19610205;1961;2;5;3405000;7175000;-14.5;-7.3;-15.9;0;1218;1.85
;;;Siikajoki;2382;19610206;1961;2;6;3405000;7175000;-16.9;-15.2;-28.8;2;1684;1
;;;Siikajoki;2382;19610207;1961;2;7;3405000;7175000;-4;0.3;-16.4;3;895;4.63
;;;Siikajoki;2382;19610208;1961;2;8;3405000;7175000;-3.9;0.8;-6.2;1;1231;4.48
;;;Siikajoki;2382;19610209;1961;2;9;3405000;7175000;-8.6;-6;-12.1;0;1128;2.87
;;;Siikajoki;2382;19610210;1961;2;10;3405000;7175000;-9.4;-7.1;-16.7;0;1489;2.78
;;;Siikajoki;2382;19610211;1961;2;11;3405000;7175000;-7.5;-4.5;-15.7;3;1098;3.49
;;;Siikajoki;2382;19610212;1961;2;12;3405000;7175000;-6.5;-1.5;-8.2;0;1913;3.73
;;;Siikajoki;2382;19610213;1961;2;13;3405000;7175000;-6.1;-5.4;-17.1;2;2265;2.29
;;;Siikajoki;2382;19610214;1961;2;14;3405000;7175000;-1.1;1.5;-8.1;1;1177;5.62
;;;Siikajoki;2382;19610215;1961;2;15;3405000;7175000;-1.9;1.5;-6.5;0;2516;4
;;;Siikajoki;2382;19610216;1961;2;16;3405000;7175000;-2.7;0.1;-9.8;0;2238;3.94
;;;Siikajoki;2382;19610217;1961;2;17;3405000;7175000;0.3;1.9;-4.2;0;1262;5.17
;;;Siikajoki;2382;19610218;1961;2;18;3405000;7175000;-0.5;4.7;0;0;2853;5.62
;;;Siikajoki;2382;19610219;1961;2;19;3405000;7175000;-5;0;-14.2;0;2188;3.01
;;;Siikajoki;2382;19610220;1961;2;20;3405000;7175000;0.9;5.1;-6;0;1628;5.5
;;;Siikajoki;2382;19610221;1961;2;21;3405000;7175000;1.8;3.6;0.1;0;2501;5.39
;;;Siikajoki;2382;19610222;1961;2;22;3405000;7175000;2.2;4.2;-0.4;0;1983;5.05
;;;Siikajoki;2382;19610223;1961;2;23;3405000;7175000;0.3;4;-1;0;3371;5.53
;;;Siikajoki;2382;19610224;1961;2;24;3405000;7175000;-2.4;3.3;-6.5;0;3116;4.86
;;;Siikajoki;2382;19610225;1961;2;25;3405000;7175000;-2.3;-1.7;-5.8;2;1882;4.49
;;;Siikajoki;2382;19610226;1961;2;26;3405000;7175000;0.4;1.1;-1.9;2;1858;5.72
