OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;Tammela;366;19610101;1961;1;1;3325000;6735000;-3;-2.6;-4;1;585;-999
;Tammela;366;19610102;1961;1;2;3325000;6735000;-1.6;-0.4;-4.1;3;591;5.11
;Tammela;366;19610103;1961;1;3;3325000;6735000;-0.9;0.1;-1.4;0;604;5.57
;Tammela;366;19610104;1961;1;4;3325000;6735000;-1.6;-1.3;-3.1;6;603;4.89
;Tammela;366;19610105;1961;1;5;3325000;6735000;0.4;2.1;-1.9;1;628;6.19
;Tammela;366;19610106;1961;1;6;3325000;6735000;-1.1;0.8;-2.5;2;748;5.43
;Tammela;366;19610107;1961;1;7;3325000;6735000;-1;-0.1;-4.7;2;687;5.36
;Tammela;366;19610108;1961;1;8;3325000;6735000;-3;0.3;-5.1;1;669;5.27
;Tammela;366;19610109;1961;1;9;3325000;6735000;-11.9;-4.8;-16.4;0;793;2.33
;Tammela;366;19610110;1961;1;10;3325000;6735000;-8.3;-1.7;-20.3;6;744;3.15
;Tammela;366;19610111;1961;1;11;3325000;6735000;-0.7;0.3;-1.5;3;723;5.97
;Tammela;366;19610112;1961;1;12;3325000;6735000;-3.2;0.1;-7.3;1;793;4.39
;Tammela;366;19610113;1961;1;13;3325000;6735000;-1;0.2;-6;6;754;5.6
;Tammela;366;19610114;1961;1;14;3325000;6735000;-0.9;-0.1;-3.9;0;897;5.34
;Tammela;366;19610115;1961;1;15;3325000;6735000;-0.9;2.2;-3.5;0;1008;5.64
;Tammela;366;19610116;1961;1;16;3325000;6735000;-10.7;0.7;-17;0;1433;2.36
;Tammela;366;19610117;1961;1;17;3325000;6735000;-16.9;-16.3;-23.6;0;1500;1.12
;Tammela;366;19610118;1961;1;18;3325000;6735000;-4.8;-0.2;-19.6;0;859;4.77
;Tammela;366;19610119;1961;1;19;3325000;6735000;-3.3;-1.2;-3.2;0;870;4.47
;Tammela;366;19610120;1961;1;20;3325000;6735000;-9.9;-3.3;-13.2;0;1492;2.94
;Tammela;366;19610121;1961;1;21;3325000;6735000;-11;-6.7;-17.2;0;895;2.48
;Tammela;366;19610122;1961;1;22;3325000;6735000;-8.9;-6.6;-10.7;0;1681;2.74
;Tammela;366;19610123;1961;1;23;3325000;6735000;-9.8;-7.4;-11.1;0;963;2.79
;Tammela;366;19610124;1961;1;24;3325000;6735000;-13.8;-7.6;-16.1;0;1766;1.77
;Tammela;366;19610125;1961;1;25;3325000;6735000;-13.1;-11.3;-18.7;0;1655;1.9
;Tammela;366;19610126;1961;1;26;3325000;6735000;-5.2;-2;-12.6;0;1180;3.99
;Tammela;366;19610127;1961;1;27;3325000;6735000;-2.3;-1.9;-4;0;1163;4.34
;Tammela;366;19610128;1961;1;28;3325000;6735000;-1;0.9;-4;0;1093;5.07
;Tammela;366;19610129;1961;1;29;3325000;6735000;0.4;1.1;-2.3;4;1179;5.73
;Tammela;366;19610130;1961;1;30;3325000;6735000;0.8;2.7;0.3;5;1165;6.67
;Tammela;366;19610131;1961;1;31;3325000;6735000;-1.6;1.8;-2.5;0;1228;4.93
;Tammela;366;19610201;1961;2;1;3325000;6735000;-0.5;0.8;-2.3;0;1210;5.58
;Tammela;366;19610202;1961;2;2;3325000;6735000;0;0.5;-0.6;1;1382;5.71
;Tammela;366;19610203;1961;2;3;3325000;6735000;0;0.6;-0.3;0;1311;5.85
;Tammela;366;19610204;1961;2;4;3325000;6735000;-2;0.2;-2.1;1;1716;5.08
;Tammela;366;19610205;1961;2;5;3325000;6735000;-6.7;-1.8;-8.5;0;2004;3.59
;Tammela;366;19610206;1961;2;6;3325000;6735000;-6.2;-2.4;-13.1;4;1794;3.22
;Tammela;366;19610207;1961;2;7;3325000;6735000;-0.6;0.1;-2.4;4;1391;5.58
;Tammela;366;19610208;1961;2;8;3325000;6735000;-1.9;1.1;-0.4;0;2248;5.6
;Tammela;366;19610209;1961;2;9;3325000;6735000;-7.3;-0.6;-13.4;0;3322;3.21
;Tammela;366;19610210;1961;2;10;3325000;6735000;-5.7;-4.1;-11.9;4;1522;3.79
;Tammela;366;19610211;1961;2;11;3325000;6735000;-0.1;1.7;-5.1;0;1539;6.31
;Tammela;366;19610212;1961;2;12;3325000;6735000;-1;1.7;-3;0;2242;5.7
;Tammela;366;19610213;1961;2;13;3325000;6735000;-3.5;-1.6;-7.9;0;3773;4.08
;Tammela;366;19610214;1961;2;14;3325000;6735000;0;2.2;-8;0;1646;6.41
;Tammela;366;19610215;1961;2;15;3325000;6735000;0.4;2.8;-1.9;0;4151;5.51
;Tammela;366;19610216;1961;2;16;3325000;6735000;-0.4;2.7;-6;0;1778;5.26
;Tammela;366;19610217;1961;2;17;3325000;6735000;1.5;4.6;0;0;3232;6.13
;Tammela;366;19610218;1961;2;18;3325000;6735000;1.3;4.5;0.1;0;3348;6.21
;Tammela;366;19610219;1961;2;19;3325000;6735000;-0.6;1.5;-2.7;0;2924;5.42
;Tammela;366;19610220;1961;2;20;3325000;6735000;0.1;3.8;-3.1;0;1934;5.74
;Tammela;366;19610221;1961;2;21;3325000;6735000;1.1;5.8;-1.8;0;4848;5.48
;Tammela;366;19610222;1961;2;22;3325000;6735000;0.2;5;-3.2;0;5111;4.68
;Tammela;366;19610223;1961;2;23;3325000;6735000;-1.7;3.7;-3;0;4021;5.18
;Tammela;366;19610224;1961;2;24;3325000;6735000;-1.7;5.8;-8.2;0;5472;4.82
;Tammela;366;19610225;1961;2;25;3325000;6735000;-1;0;-3.7;0;2177;5.5
;Tammela;366;19610226;1961;2;26;3325000;6735000;-0.5;-0.4;-1.4;0;2506;5.46
;Tammela;366;19610227;1961;2;27;3325000;6735000;0.8;2.4;-0.8;4;2445;6.67
;Tammela;366;19610228;1961;2;28;3325000;6735000;0.9;4;-0.6;0;4160;5.81
;Tammela;366;19610301;1961;3;1;3325000;6735000;-1.7;1.9;-3.5;0;6014;5.53
;Tammela;366;19610302;1961;3;2;3325000;6735000;-0.2;1.5;-2.7;0;2436;5.51
;Tammela;366;19610303;1961;3;3;3325000;6735000;-0.6;1;-5;0;2072;5.78
;Tammela;366;19610304;1961;3;4;3325000;6735000;1.8;3.3;0.2;2;2582;6.56
;Tammela;366;19610305;1961;3;5;3325000;6735000;1.9;3.7;0.1;0;6467;5.33
;Tammela;366;19610306;1961;3;6;3325000;6735000;3.9;8.6;0.1;0;7340;5.87
;Tammela;366;19610307;1961;3;7;3325000;6735000;2.1;4.7;-1.3;0;4233;4.86
;Tammela;366;19610308;1961;3;8;3325000;6735000;-1.9;0.8;-5.9;1;7264;4.29
;Tammela;366;19610309;1961;3;9;3325000;6735000;3.4;7.2;-0.5;0;3941;6.47
;Tammela;366;19610310;1961;3;10;3325000;6735000;5;11.8;1.3;0;6572;7.01
;Tammela;366;19610311;1961;3;11;3325000;6735000;3;5.6;0.4;0;4642;5.62
;Tammela;366;19610312;1961;3;12;3325000;6735000;2.4;6.1;-0.3;5;7101;5.48
;Tammela;366;19610313;1961;3;13;3325000;6735000;0;1.7;-2.4;0;6845;4.72
;Tammela;366;19610314;1961;3;14;3325000;6735000;-2.1;1.8;-7.9;4;5810;3.73
;Tammela;366;19610315;1961;3;15;3325000;6735000;-0.2;1.5;-1.9;0;4265;4.51
;Tammela;366;19610316;1961;3;16;3325000;6735000;-2.1;2;-5;0;4340;4.19
;Tammela;366;19610317;1961;3;17;3325000;6735000;-0.4;1.1;-2.4;0;3791;5.45
;Tammela;366;19610318;1961;3;18;3325000;6735000;-1.5;1.2;-4.7;17;3253;5.28
;Tammela;366;19610319;1961;3;19;3325000;6735000;-6.1;-3.5;-7.9;0;7814;2.73
;Tammela;366;19610320;1961;3;20;3325000;6735000;-6;0.8;-12.2;0;9476;3.18
;Tammela;366;19610321;1961;3;21;3325000;6735000;-7.2;-0.9;-14.6;0;11886;2.53
;Tammela;366;19610322;1961;3;22;3325000;6735000;-7.4;1.2;-17.5;3;12034;2.43
;Tammela;366;19610323;1961;3;23;3325000;6735000;1.5;5.8;-4.6;0;6925;5.67
;Tammela;366;19610324;1961;3;24;3325000;6735000;0.7;3.7;-1;0;9324;4.29
;Tammela;366;19610325;1961;3;25;3325000;6735000;-0.5;2.9;-3.2;0;10335;4.11
;Tammela;366;19610326;1961;3;26;3325000;6735000;1.8;3.9;-1.9;1;4136;6.33
;Tammela;366;19610327;1961;3;27;3325000;6735000;0.9;3;-0.3;0;6516;4.89
;Tammela;366;19610328;1961;3;28;3325000;6735000;-1.6;0.6;-3.8;1;6249;4.49
;Tammela;366;19610329;1961;3;29;3325000;6735000;-3.5;2.3;-10.8;1;9856;3.89
;Tammela;366;19610330;1961;3;30;3325000;6735000;-2.9;-1.6;-5.3;10;3253;4.51
;Tammela;366;19610331;1961;3;31;3325000;6735000;-3.4;1.3;-5.3;0;10361;3.48
;Tammela;366;19610401;1961;4;1;3325000;6735000;-7.1;2.5;-17.9;0;8849;3.44
;Tammela;366;19610402;1961;4;2;3325000;6735000;-4.7;4.1;-14.1;0;13285;3.35
;Tammela;366;19610403;1961;4;3;3325000;6735000;-3;4.7;-10.2;0;11894;4.2
;Tammela;366;19610404;1961;4;4;3325000;6735000;-1.9;2.7;-7.5;1;8183;4.72
;Tammela;366;19610405;1961;4;5;3325000;6735000;-1.9;3.1;-5.9;2;7476;4.61
;Tammela;366;19610406;1961;4;6;3325000;6735000;0.4;1.9;-1.4;1;5122;5.74
;Tammela;366;19610407;1961;4;7;3325000;6735000;0.6;0.8;0;6;4430;6.1
;Tammela;366;19610408;1961;4;8;3325000;6735000;0.5;4.4;-1.3;0;8814;4.83
;Tammela;366;19610409;1961;4;9;3325000;6735000;-1.1;3.4;-7.1;0;15091;3.78
;Tammela;366;19610410;1961;4;10;3325000;6735000;-1.3;2.5;-5.2;3;10693;4.2
;Tammela;366;19610411;1961;4;11;3325000;6735000;-2;4.1;-7.4;0;15247;3.54
;Tammela;366;19610412;1961;4;12;3325000;6735000;-3.3;3.8;-11.9;3;15669;3.53
;Tammela;366;19610413;1961;4;13;3325000;6735000;-0.6;0.7;-1.9;1;5315;4.91
;Tammela;366;19610414;1961;4;14;3325000;6735000;1;3.7;-3.7;0;4948;6.64
;Tammela;366;19610415;1961;4;15;3325000;6735000;4.5;7;2.3;1;5133;8.56
;Tammela;366;19610416;1961;4;16;3325000;6735000;5.2;9.4;2.6;0;13707;6.8
;Tammela;366;19610417;1961;4;17;3325000;6735000;4.8;11.7;-1.8;0;17260;5.22
;Tammela;366;19610418;1961;4;18;3325000;6735000;6;12.7;-0.7;0;18700;5.47
;Tammela;366;19610419;1961;4;19;3325000;6735000;3.3;8.5;-1;0;11656;4.89
;Tammela;366;19610420;1961;4;20;3325000;6735000;1.4;6;-3.1;0;18613;3.75
;Tammela;366;19610421;1961;4;21;3325000;6735000;1.8;9;-6.1;0;20377;3.99
;Tammela;366;19610422;1961;4;22;3325000;6735000;4.6;11.5;-2.1;0;18531;4.61
;Tammela;366;19610423;1961;4;23;3325000;6735000;6.3;15.4;-3.9;0;20937;5.32
;Tammela;366;19610424;1961;4;24;3325000;6735000;8.9;17.2;0.1;0;18938;6.42
;Tammela;366;19610425;1961;4;25;3325000;6735000;10;18.7;-1.5;0;22317;6.54
;Tammela;366;19610426;1961;4;26;3325000;6735000;10.4;18.9;-1.1;0;21510;6
;Tammela;366;19610427;1961;4;27;3325000;6735000;7.9;14.7;-1.5;0;19702;5.87
;Tammela;366;19610428;1961;4;28;3325000;6735000;2.6;7.8;-2.6;0;17424;3.88
;Tammela;366;19610429;1961;4;29;3325000;6735000;2.3;8.7;-6.8;0;18278;4.05
;Tammela;366;19610430;1961;4;30;3325000;6735000;4;8.5;-0.8;0;17202;4.5
;Tammela;366;19610501;1961;5;1;3325000;6735000;2.4;9.7;-6.3;0;22282;3.66
;Tammela;366;19610502;1961;5;2;3325000;6735000;4;11.1;-4.6;0;15147;4.37
;Tammela;366;19610503;1961;5;3;3325000;6735000;7.2;15.3;-3.4;0;18909;5.43
;Tammela;366;19610504;1961;5;4;3325000;6735000;8.3;16.9;-1.4;1;15340;7.37
