OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;;;;;
;;;Viitasaari;1655;19610101;1961;1;1;3455000;6995000;-4.2;-4;-6.4;4;277;-999;;;;;;
;;;Viitasaari;1655;19610102;1961;1;2;3455000;6995000;-3.8;-3.5;-4.9;2;285;4.33;;;;;;
;;;Viitasaari;1655;19610103;1961;1;3;3455000;6995000;-2.6;-1.5;-4.4;0;298;5.05;;;;;;
;;;Viitasaari;1655;19610104;1961;1;4;3455000;6995000;-2.4;-1.8;-4.6;5;305;4.41;;;;;;
;;;Viitasaari;1655;19610105;1961;1;5;3455000;6995000;-0.7;1.1;-3.2;1;321;5.7;;;;;;
;;;Viitasaari;1655;19610106;1961;1;6;3455000;6995000;-2;1.1;-3.4;3;327;5.14;;;;;;
;;;Viitasaari;1655;19610107;1961;1;7;3455000;6995000;-3.3;-2.4;-5.7;1;342;4.47;;;;;;
;;;Viitasaari;1655;19610108;1961;1;8;3455000;6995000;-3.7;-1;-4.4;4;354;4.97;;;;;;
;;;Viitasaari;1655;19610109;1961;1;9;3455000;6995000;-10.1;-1.9;-16.1;0;474;2.72;;;;;;
;;;Viitasaari;1655;19610110;1961;1;10;3455000;6995000;-11;-10.7;-18.2;1;514;2.12;;;;;;
;;;Viitasaari;1655;19610111;1961;1;11;3455000;6995000;-5.7;0;-12.3;1;418;4.72;;;;;;
;;;Viitasaari;1655;19610112;1961;1;12;3455000;6995000;-7;-2.4;-12.6;1;437;3.41;;;;;;
;;;Viitasaari;1655;19610113;1961;1;13;3455000;6995000;-4.5;-2.7;-6.4;1;454;4.19;;;;;;
;;;Viitasaari;1655;19610114;1961;1;14;3455000;6995000;-3.7;-2.6;-6.1;2;459;4.32;;;;;;
;;;Viitasaari;1655;19610115;1961;1;15;3455000;6995000;-5.7;-0.1;-5.9;0;548;4.33;;;;;;
;;;Viitasaari;1655;19610116;1961;1;16;3455000;6995000;-16.2;-5.7;-20.2;0;826;1.44;;;;;;
;;;Viitasaari;1655;19610117;1961;1;17;3455000;6995000;-18.2;-14.1;-28.2;0;773;1.03;;;;;;
;;;Viitasaari;1655;19610118;1961;1;18;3455000;6995000;-8;-4.6;-18.7;0;523;3.76;;;;;;
;;;Viitasaari;1655;19610119;1961;1;19;3455000;6995000;-3.8;-2.5;-4.9;0;572;4.68;;;;;;
;;;Viitasaari;1655;19610120;1961;1;20;3455000;6995000;-5.8;-3.4;-6.8;0;594;3.86;;;;;;
;;;Viitasaari;1655;19610121;1961;1;21;3455000;6995000;-7.7;-6.3;-8.9;0;618;3.09;;;;;;
;;;Viitasaari;1655;19610122;1961;1;22;3455000;6995000;-9;-8.2;-11;0;756;2.66;;;;;;
;;;Viitasaari;1655;19610123;1961;1;23;3455000;6995000;-10.8;-7.3;-11;0;905;2.69;;;;;;
;;;Viitasaari;1655;19610124;1961;1;24;3455000;6995000;-15.7;-10.3;-20.7;0;1198;1.62;;;;;;
;;;Viitasaari;1655;19610125;1961;1;25;3455000;6995000;-13.5;-10.9;-19.2;0;1081;1.95;;;;;;
;;;Viitasaari;1655;19610126;1961;1;26;3455000;6995000;-8.3;-6;-13;0;996;2.91;;;;;;
;;;Viitasaari;1655;19610127;1961;1;27;3455000;6995000;-5.2;-4.1;-7.6;0;741;3.74;;;;;;
;;;Viitasaari;1655;19610128;1961;1;28;3455000;6995000;-3.9;-2;-5.7;1;811;4.28;;;;;;
;;;Viitasaari;1655;19610129;1961;1;29;3455000;6995000;-1.6;-1;-6.1;2;986;5.15;;;;;;
;;;Viitasaari;1655;19610130;1961;1;30;3455000;6995000;-0.1;0.7;-2;7;892;5.87;;;;;;
;;;Viitasaari;1655;19610131;1961;1;31;3455000;6995000;-3.6;0.7;-7;1;868;4.51;;;;;;
;;;Viitasaari;1655;19610201;1961;2;1;3455000;6995000;-10.1;-6.8;-12.7;0;923;2.86;;;;;;
;;;Viitasaari;1655;19610202;1961;2;2;3455000;6995000;-6.9;-4.2;-14.1;3;1048;3.28;;;;;;
;;;Viitasaari;1655;19610203;1961;2;3;3455000;6995000;-2;-0.9;-4.5;0;887;4.92;;;;;;
;;;Viitasaari;1655;19610204;1961;2;4;3455000;6995000;-4.4;-0.8;-6.4;1;1008;4.21;;;;;;
;;;Viitasaari;1655;19610205;1961;2;5;3455000;6995000;-12.2;-6.5;-12.3;0;1401;2.42;;;;;;
;;;Viitasaari;1655;19610206;1961;2;6;3455000;6995000;-14;-11.9;-24.4;3;1753;1.43;;;;;;
;;;Viitasaari;1655;19610207;1961;2;7;3455000;6995000;-4.5;-1.7;-15.3;0;1113;4.66;;;;;;
;;;Viitasaari;1655;19610208;1961;2;8;3455000;6995000;-5.1;-0.7;-6.9;1;1328;4.52;;;;;;
