OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
;;;Ylitornio;2909;19610101;1961;1;1;3405000;7375000;-6.5;-4.4;-7.5;1;14;-999
;;;Ylitornio;2909;19610102;1961;1;2;3405000;7375000;-6.3;-5.3;-7.2;3;9;3.63
;;;Ylitornio;2909;19610103;1961;1;3;3405000;7375000;-5.3;-3.9;-8;1;22;4.03
;;;Ylitornio;2909;19610104;1961;1;4;3405000;7375000;-3.9;-1.5;-5.2;0;27;4.45
;;;Ylitornio;2909;19610105;1961;1;5;3405000;7375000;-4.7;-3.4;-4.9;4;24;4.49
;;;Ylitornio;2909;19610106;1961;1;6;3405000;7375000;-11.1;-2.5;-15.1;0;22;2.88
;;;Ylitornio;2909;19610107;1961;1;7;3405000;7375000;-17.5;-12.3;-20.4;0;35;1.68
;;;Ylitornio;2909;19610108;1961;1;8;3405000;7375000;-15;-13;-19.9;1;27;2.36
;;;Ylitornio;2909;19610109;1961;1;9;3405000;7375000;-13.5;-10;-16.4;0;41;2.37
;;;Ylitornio;2909;19610110;1961;1;10;3405000;7375000;-12.6;-10.5;-18.9;0;61;2.46
;;;Ylitornio;2909;19610111;1961;1;11;3405000;7375000;-11.1;-8;-11.2;4;66;2.95
;;;Ylitornio;2909;19610112;1961;1;12;3405000;7375000;-14.7;-9.4;-20.3;0;61;1.92
;;;Ylitornio;2909;19610113;1961;1;13;3405000;7375000;-11.4;-9.7;-15.1;1;83;2.51
;;;Ylitornio;2909;19610114;1961;1;14;3405000;7375000;-11.7;-8.2;-14.2;1;127;2.53
;;;Ylitornio;2909;19610115;1961;1;15;3405000;7375000;-14.1;-10;-17.4;0;158;2.21
;;;Ylitornio;2909;19610116;1961;1;16;3405000;7375000;-17.1;-11.3;-24.4;0;167;1.16
;;;Ylitornio;2909;19610117;1961;1;17;3405000;7375000;-8.3;-3.4;-17.4;0;125;3.12
;;;Ylitornio;2909;19610118;1961;1;18;3405000;7375000;-5.4;-3.1;-7.4;0;152;4.2
;;;Ylitornio;2909;19610119;1961;1;19;3405000;7375000;-5.8;-4.6;-8.6;0;185;4.02
;;;Ylitornio;2909;19610120;1961;1;20;3405000;7375000;-5.5;-3.7;-6.5;0;156;3.82
;;;Ylitornio;2909;19610121;1961;1;21;3405000;7375000;-8.3;-6.1;-9.7;0;210;2.84
;;;Ylitornio;2909;19610122;1961;1;22;3405000;7375000;-9.9;-9.2;-11.7;0;234;2.42
;;;Ylitornio;2909;19610123;1961;1;23;3405000;7375000;-9.4;-5.1;-13.1;0;465;2.71
;;;Ylitornio;2909;19610124;1961;1;24;3405000;7375000;-13.9;-10.6;-17.5;0;376;1.66
;;;Ylitornio;2909;19610125;1961;1;25;3405000;7375000;-13;-7.7;-20.3;0;466;1.78
;;;Ylitornio;2909;19610126;1961;1;26;3405000;7375000;-11.5;-7.3;-14.8;0;552;2.1
;;;Ylitornio;2909;19610127;1961;1;27;3405000;7375000;-12.4;-10.7;-19.7;0;433;2.12
;;;Ylitornio;2909;19610128;1961;1;28;3405000;7375000;-7.1;-5;-12.4;4;437;3.42
;;;Ylitornio;2909;19610129;1961;1;29;3405000;7375000;-4.8;-1.2;-7.1;1;581;4.24
;;;Ylitornio;2909;19610130;1961;1;30;3405000;7375000;-8.9;-6.5;-9.9;3;512;3.01
;;;Ylitornio;2909;19610131;1961;1;31;3405000;7375000;-10.8;-8.9;-12.2;0;564;2.32
;;;Ylitornio;2909;19610201;1961;2;1;3405000;7375000;-15.7;-10;-19.7;0;671;1.6
;;;Ylitornio;2909;19610202;1961;2;2;3405000;7375000;-13.5;-11.4;-18.1;2;733;1.87
;;;Ylitornio;2909;19610203;1961;2;3;3405000;7375000;-11.2;-9.9;-13;0;826;2.19
;;;Ylitornio;2909;19610204;1961;2;4;3405000;7375000;-12.9;-9.8;-15.6;0;766;1.86
;;;Ylitornio;2909;19610205;1961;2;5;3405000;7375000;-17.3;-11.4;-18;0;1131;1.24
;;;Ylitornio;2909;19610206;1961;2;6;3405000;7375000;-21;-16.5;-27.3;3;1157;0.73
;;;Ylitornio;2909;19610207;1961;2;7;3405000;7375000;-7.6;-1.5;-22.2;11;663;3.76
;;;Ylitornio;2909;19610208;1961;2;8;3405000;7375000;-5;-0.6;-8.1;2;950;4.21
;;;Ylitornio;2909;19610209;1961;2;9;3405000;7375000;-8.6;-4.2;-11.3;0;1252;2.95
;;;Ylitornio;2909;19610210;1961;2;10;3405000;7375000;-10.5;-7.5;-17.8;0;1044;2.66
;;;Ylitornio;2909;19610211;1961;2;11;3405000;7375000;-7.8;-6.4;-10.3;1;985;3.24
;;;Ylitornio;2909;19610212;1961;2;12;3405000;7375000;-10.3;-6.7;-16.4;0;1411;2.82
;;;Ylitornio;2909;19610213;1961;2;13;3405000;7375000;-11;-8.4;-18.8;0;1709;2.13
;;;Ylitornio;2909;19610214;1961;2;14;3405000;7375000;-2.2;1.3;-9.3;1;967;5.43
;;;Ylitornio;2909;19610215;1961;2;15;3405000;7375000;-4.8;0.3;-9.8;0;2154;3.81
;;;Ylitornio;2909;19610216;1961;2;16;3405000;7375000;-7.2;-3.9;-10.7;0;1650;3.58
;;;Ylitornio;2909;19610217;1961;2;17;3405000;7375000;-4.9;-2.5;-12.1;2;1191;3.73
