OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;;
;;;Mänttä-Vilppula;1069;19610101;1961;1;1;3365000;6885000;-3.3;-3.4;-4.5;3;398;-999;;;
;;;Mänttä-Vilppula;1069;19610102;1961;1;2;3365000;6885000;-3;-2.4;-5.2;2;412;4.46;;;
;;;Mänttä-Vilppula;1069;19610103;1961;1;3;3365000;6885000;-1.3;0;-2.5;0;420;5.4;;;
;;;Mänttä-Vilppula;1069;19610104;1961;1;4;3365000;6885000;-1.8;-1.1;-3.5;9;429;4.58;;;
;;;Mänttä-Vilppula;1069;19610105;1961;1;5;3365000;6885000;-0.3;1.7;-2.9;1;444;5.92;;;
;;;Mänttä-Vilppula;1069;19610106;1961;1;6;3365000;6885000;-1.8;0.9;-4.2;1;461;5.07;;;
;;;Mänttä-Vilppula;1069;19610107;1961;1;7;3365000;6885000;-1.8;-1;-5.1;6;473;4.93;;;
;;;Mänttä-Vilppula;1069;19610108;1961;1;8;3365000;6885000;-3.4;-0.1;-4;3;483;5.12;;;
;;;Mänttä-Vilppula;1069;19610109;1961;1;9;3365000;6885000;-11;-3.7;-17;0;622;2.53;;;
;;;Mänttä-Vilppula;1069;19610110;1961;1;10;3365000;6885000;-9.8;-8.1;-17.1;3;641;2.51;;;
;;;Mänttä-Vilppula;1069;19610111;1961;1;11;3365000;6885000;-4.1;0.2;-8.4;1;553;5.26;;;
;;;Mänttä-Vilppula;1069;19610112;1961;1;12;3365000;6885000;-5.2;-2.6;-11;1;563;3.63;;;
;;;Mänttä-Vilppula;1069;19610113;1961;1;13;3365000;6885000;-2;-0.7;-4.9;7;577;4.91;;;
;;;Mänttä-Vilppula;1069;19610114;1961;1;14;3365000;6885000;-0.9;-0.6;-3.6;0;674;4.83;;;
;;;Mänttä-Vilppula;1069;19610115;1961;1;15;3365000;6885000;-3;1.4;-5.3;0;783;4.98;;;
;;;Mänttä-Vilppula;1069;19610116;1961;1;16;3365000;6885000;-14.8;-2.1;-21.6;0;1061;1.78;;;
;;;Mänttä-Vilppula;1069;19610117;1961;1;17;3365000;6885000;-17;-15.2;-26.6;0;992;1.21;;;
;;;Mänttä-Vilppula;1069;19610118;1961;1;18;3365000;6885000;-6.1;-1.9;-18.1;0;641;4.39;;;
;;;Mänttä-Vilppula;1069;19610119;1961;1;19;3365000;6885000;-3.1;-1.7;-3.4;0;691;4.71;;;
;;;Mänttä-Vilppula;1069;19610120;1961;1;20;3365000;6885000;-5.8;-3.2;-6.6;0;809;3.78;;;
;;;Mänttä-Vilppula;1069;19610121;1961;1;21;3365000;6885000;-7.6;-6.6;-8.8;0;733;2.86;;;
;;;Mänttä-Vilppula;1069;19610122;1961;1;22;3365000;6885000;-9.3;-7.4;-13.2;0;1035;2.79;;;
;;;Mänttä-Vilppula;1069;19610123;1961;1;23;3365000;6885000;-11.2;-7.3;-17;0;916;2.77;;;
;;;Mänttä-Vilppula;1069;19610124;1961;1;24;3365000;6885000;-14.9;-8.9;-18;0;1314;1.85;;;
;;;Mänttä-Vilppula;1069;19610125;1961;1;25;3365000;6885000;-12.7;-7.1;-20.5;0;1288;1.93;;;
;;;Mänttä-Vilppula;1069;19610126;1961;1;26;3365000;6885000;-6.2;-2.7;-10.6;0;1022;3.48;;;
;;;Mänttä-Vilppula;1069;19610127;1961;1;27;3365000;6885000;-3.6;-2.2;-5.8;0;880;4.17;;;
;;;Mänttä-Vilppula;1069;19610128;1961;1;28;3365000;6885000;-2.3;-0.2;-4.8;0;894;4.57;;;
