OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Nurmijärvi;229;19610101;1961;1;1;3385000;6705000;-2.8;-2.4;-3.3;1;590;-999;;
;;;Nurmijärvi;229;19610102;1961;1;2;3385000;6705000;-1.5;0;-4.3;1;578;5.22;;
;;;Nurmijärvi;229;19610103;1961;1;3;3385000;6705000;-1;0.2;-1.4;1;611;5.55;;
;;;Nurmijärvi;229;19610104;1961;1;4;3385000;6705000;-1;-0.9;-4.7;6;576;5.04;;
;;;Nurmijärvi;229;19610105;1961;1;5;3385000;6705000;1.1;2.3;-0.9;5;634;6.63;;
;;;Nurmijärvi;229;19610106;1961;1;6;3385000;6705000;0.2;1.6;-0.4;4;619;5.88;;
;;;Nurmijärvi;229;19610107;1961;1;7;3385000;6705000;-0.2;0.3;-3.2;0;669;5.47;;
;;;Nurmijärvi;229;19610108;1961;1;8;3385000;6705000;-0.9;0.4;-0.7;2;669;5.88;;
;;;Nurmijärvi;229;19610109;1961;1;9;3385000;6705000;-6;-1.3;-8.3;0;794;3.78;;
;;;Nurmijärvi;229;19610110;1961;1;10;3385000;6705000;-5.4;-0.4;-14.6;3;812;3.87;;
;;;Nurmijärvi;229;19610111;1961;1;11;3385000;6705000;0.1;1.2;-0.4;4;734;6.12;;
;;;Nurmijärvi;229;19610112;1961;1;12;3385000;6705000;-2.7;0.2;-8.1;1;732;4.69;;
;;;Nurmijärvi;229;19610113;1961;1;13;3385000;6705000;-1;0.3;-6.7;7;762;5.66;;
;;;Nurmijärvi;229;19610114;1961;1;14;3385000;6705000;-0.2;0.3;-1.5;1;838;5.4;;
;;;Nurmijärvi;229;19610115;1961;1;15;3385000;6705000;-0.8;2.3;-1.7;1;992;5.51;;
;;;Nurmijärvi;229;19610116;1961;1;16;3385000;6705000;-10;0.8;-14.7;0;1360;2.52;;
;;;Nurmijärvi;229;19610117;1961;1;17;3385000;6705000;-15.4;-13.6;-21.2;0;1523;1.19;;
;;;Nurmijärvi;229;19610118;1961;1;18;3385000;6705000;-5.3;-0.3;-21.9;0;840;4.65;;
;;;Nurmijärvi;229;19610119;1961;1;19;3385000;6705000;-3;-0.4;-2.9;0;854;4.71;;
;;;Nurmijärvi;229;19610120;1961;1;20;3385000;6705000;-8.1;-2.7;-10.2;0;1516;3.07;;
;;;Nurmijärvi;229;19610121;1961;1;21;3385000;6705000;-9;-6;-13.4;0;877;2.78;;
;;;Nurmijärvi;229;19610122;1961;1;22;3385000;6705000;-8.9;-6;-12.1;0;1366;2.84;;
;;;Nurmijärvi;229;19610123;1961;1;23;3385000;6705000;-9.9;-8;-12.2;0;1032;2.62;;
;;;Nurmijärvi;229;19610124;1961;1;24;3385000;6705000;-13.1;-6.8;-16.7;0;1846;1.82;;
;;;Nurmijärvi;229;19610125;1961;1;25;3385000;6705000;-12.1;-10.7;-18.1;0;1651;2.02;;
;;;Nurmijärvi;229;19610126;1961;1;26;3385000;6705000;-5.6;-1.5;-11.7;0;1409;3.67;;
;;;Nurmijärvi;229;19610127;1961;1;27;3385000;6705000;-1.7;-0.8;-5.5;0;1405;4.22;;
;;;Nurmijärvi;229;19610128;1961;1;28;3385000;6705000;-0.1;1.8;-3.8;0;1089;5.12;;
;;;Nurmijärvi;229;19610129;1961;1;29;3385000;6705000;0.7;1.7;-1.8;5;1345;5.58;;
;;;Nurmijärvi;229;19610130;1961;1;30;3385000;6705000;1.2;2.5;0;4;1156;6.75;;
;;;Nurmijärvi;229;19610131;1961;1;31;3385000;6705000;-0.7;2.2;-1.7;1;1308;5.01;;
;;;Nurmijärvi;229;19610201;1961;2;1;3385000;6705000;-0.3;1.1;-2.3;0;1345;5.57;;
;;;Nurmijärvi;229;19610202;1961;2;2;3385000;6705000;0.6;1.3;-0.6;5;1426;5.92;;
;;;Nurmijärvi;229;19610203;1961;2;3;3385000;6705000;0;0.8;0;0;1538;6.05;;
;;;Nurmijärvi;229;19610204;1961;2;4;3385000;6705000;-1.8;0.3;-2.8;3;2145;5.29;;
;;;Nurmijärvi;229;19610205;1961;2;5;3385000;6705000;-6.6;-1.3;-7.9;0;2462;3.72;;
;;;Nurmijärvi;229;19610206;1961;2;6;3385000;6705000;-6.1;-2.1;-14;2;1842;3.2;;
;;;Nurmijärvi;229;19610207;1961;2;7;3385000;6705000;-1;-0.9;-2.6;3;1361;5.11;;
;;;Nurmijärvi;229;19610208;1961;2;8;3385000;6705000;-0.9;2;-1.1;0;1627;6.06;;
;;;Nurmijärvi;229;19610209;1961;2;9;3385000;6705000;-6.2;0.9;-11.3;0;3611;3.86;;
;;;Nurmijärvi;229;19610210;1961;2;10;3385000;6705000;-6.7;-4;-15.5;3;1769;3.11;;
;;;Nurmijärvi;229;19610211;1961;2;11;3385000;6705000;0.2;2;-4.8;1;1526;6.31;;
;;;Nurmijärvi;229;19610212;1961;2;12;3385000;6705000;0;4.1;-1.7;0;1839;5.97;;
;;;Nurmijärvi;229;19610213;1961;2;13;3385000;6705000;-2.2;-0.3;-7.5;0;3108;4.18;;
