OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Rovaniemi;2890;19610101;1961;1;1;3485000;7365000;-6.6;-4.7;-7.7;2;11;-999;;
;;;Rovaniemi;2890;19610102;1961;1;2;3485000;7365000;-5.6;-4.9;-7.2;3;2;3.69;;
;;;Rovaniemi;2890;19610103;1961;1;3;3485000;7365000;-4.1;-2.9;-5.9;1;18;4.14;;
;;;Rovaniemi;2890;19610104;1961;1;4;3485000;7365000;-3.8;-2;-5.2;0;20;4.34;;
;;;Rovaniemi;2890;19610105;1961;1;5;3485000;7365000;-3.9;-2.7;-5.2;4;21;4.39;;
;;;Rovaniemi;2890;19610106;1961;1;6;3485000;7365000;-7.2;0.3;-9.9;0;18;3.75;;
;;;Rovaniemi;2890;19610107;1961;1;7;3485000;7365000;-11.8;-9.4;-16.9;0;30;2.14;;
;;;Rovaniemi;2890;19610108;1961;1;8;3485000;7365000;-8.9;-7;-14.4;0;24;2.89;;
;;;Rovaniemi;2890;19610109;1961;1;9;3485000;7365000;-8.2;-6;-10.2;0;32;2.95;;
;;;Rovaniemi;2890;19610110;1961;1;10;3485000;7365000;-9.3;-7.6;-13.1;0;57;2.78;;
;;;Rovaniemi;2890;19610111;1961;1;11;3485000;7365000;-8.1;-6.2;-10.3;4;70;3.21;;
;;;Rovaniemi;2890;19610112;1961;1;12;3485000;7365000;-10.8;-6.3;-12.8;0;66;2.34;;
;;;Rovaniemi;2890;19610113;1961;1;13;3485000;7365000;-10.4;-9.4;-13.2;1;90;2.57;;
;;;Rovaniemi;2890;19610114;1961;1;14;3485000;7365000;-9.6;-7.5;-11.5;1;110;2.57;;
;;;Rovaniemi;2890;19610115;1961;1;15;3485000;7365000;-13.3;-8.5;-13.2;0;145;2.29;;
;;;Rovaniemi;2890;19610116;1961;1;16;3485000;7365000;-20.5;-12.2;-29.2;0;177;1.03;;
;;;Rovaniemi;2890;19610117;1961;1;17;3485000;7365000;-10.8;-4.9;-26.1;0;157;2.86;;
;;;Rovaniemi;2890;19610118;1961;1;18;3485000;7365000;-4.2;-2.9;-5.6;0;170;4.52;;
;;;Rovaniemi;2890;19610119;1961;1;19;3485000;7365000;-4.4;-3.3;-5.4;0;184;4.33;;
;;;Rovaniemi;2890;19610120;1961;1;20;3485000;7365000;-5.5;-3.4;-6;0;197;3.96;;
;;;Rovaniemi;2890;19610121;1961;1;21;3485000;7365000;-8.5;-5.7;-13;0;238;3.03;;
;;;Rovaniemi;2890;19610122;1961;1;22;3485000;7365000;-9.3;-8.7;-10.7;0;245;2.74;;
;;;Rovaniemi;2890;19610123;1961;1;23;3485000;7365000;-10.2;-5.4;-13.4;0;484;2.68;;
;;;Rovaniemi;2890;19610124;1961;1;24;3485000;7365000;-14.3;-10.8;-18;0;428;1.76;;
;;;Rovaniemi;2890;19610125;1961;1;25;3485000;7365000;-14.9;-9.6;-22.4;0;482;2.06;;
;;;Rovaniemi;2890;19610126;1961;1;26;3485000;7365000;-14.8;-8.3;-17.6;0;562;2.41;;
;;;Rovaniemi;2890;19610127;1961;1;27;3485000;7365000;-13.9;-10.2;-24.2;0;494;1.95;;
;;;Rovaniemi;2890;19610128;1961;1;28;3485000;7365000;-6.8;-5.8;-12.2;3;439;3.26;;
;;;Rovaniemi;2890;19610129;1961;1;29;3485000;7365000;-4.6;-0.8;-6.9;2;606;4.21;;
;;;Rovaniemi;2890;19610130;1961;1;30;3485000;7365000;-8.6;-6;-9.8;2;515;2.95;;
;;;Rovaniemi;2890;19610131;1961;1;31;3485000;7365000;-11.2;-8.6;-12.5;0;581;2.29;;
;;;Rovaniemi;2890;19610201;1961;2;1;3485000;7365000;-14.3;-11.8;-17.5;0;643;1.69;;
;;;Rovaniemi;2890;19610202;1961;2;2;3485000;7365000;-13.1;-11.9;-19.1;1;694;1.95;;
;;;Rovaniemi;2890;19610203;1961;2;3;3485000;7365000;-11.4;-9.6;-13.3;0;794;2.35;;
;;;Rovaniemi;2890;19610204;1961;2;4;3485000;7365000;-13.9;-9.7;-16.9;0;823;1.97;;
;;;Rovaniemi;2890;19610205;1961;2;5;3485000;7365000;-18.4;-14.4;-20.3;0;1138;1.32;;
;;;Rovaniemi;2890;19610206;1961;2;6;3485000;7365000;-20.1;-18;-28.3;2;1227;0.76;;
;;;Rovaniemi;2890;19610207;1961;2;7;3485000;7365000;-7.6;-1.6;-24.2;6;666;3.54;;
;;;Rovaniemi;2890;19610208;1961;2;8;3485000;7365000;-3.4;-0.8;-5.4;5;851;4.57;;
;;;Rovaniemi;2890;19610209;1961;2;9;3485000;7365000;-7.2;-3.6;-9.7;0;1380;3.12;;
;;;Rovaniemi;2890;19610210;1961;2;10;3485000;7365000;-8.1;-6.5;-13.9;0;1017;2.91;;
;;;Rovaniemi;2890;19610211;1961;2;11;3485000;7365000;-6.4;-5.8;-7.7;1;984;3.32;;
;;;Rovaniemi;2890;19610212;1961;2;12;3485000;7365000;-9.4;-4.9;-11;0;1090;3.15;;
;;;Rovaniemi;2890;19610213;1961;2;13;3485000;7365000;-11.3;-8.6;-21.9;0;1741;2.23;;
;;;Rovaniemi;2890;19610214;1961;2;14;3485000;7365000;-2.6;1.2;-10.6;2;970;5.27;;
;;;Rovaniemi;2890;19610215;1961;2;15;3485000;7365000;-4.7;0.8;-12.6;0;2100;3.9;;
;;;Rovaniemi;2890;19610216;1961;2;16;3485000;7365000;-8.1;-3.3;-15.7;0;1438;3.41;;
;;;Rovaniemi;2890;19610217;1961;2;17;3485000;7365000;-6;-3.4;-14.7;3;1486;3.49;;
;;;Rovaniemi;2890;19610218;1961;2;18;3485000;7365000;-8.3;1.8;-13.3;0;1844;4.24;;
;;;Rovaniemi;2890;19610219;1961;2;19;3485000;7365000;-14.3;-10.8;-24;0;2061;2.03;;
;;;Rovaniemi;2890;19610220;1961;2;20;3485000;7365000;-4.3;2.5;-16.7;1;1306;4.67;;
;;;Rovaniemi;2890;19610221;1961;2;21;3485000;7365000;-2.8;0.5;-7.4;1;1788;4.44;;
;;;Rovaniemi;2890;19610222;1961;2;22;3485000;7365000;-0.1;3.5;-8.2;0;1807;5.1;;
;;;Rovaniemi;2890;19610223;1961;2;23;3485000;7365000;0.9;4.5;-2.5;0;2517;5.69;;
;;;Rovaniemi;2890;19610224;1961;2;24;3485000;7365000;-2.2;3.2;-6.7;0;2527;5.36;;
;;;Rovaniemi;2890;19610225;1961;2;25;3485000;7365000;-3.5;-1.3;-9.2;1;1314;4.63;;
;;;Rovaniemi;2890;19610226;1961;2;26;3485000;7365000;-0.7;0.1;-2.8;0;1597;5.47;;
