OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;;
;;;Toholampi;2077;19610101;1961;1;1;3365000;7085000;-5.2;-3.9;-6.7;3;200;-999;;
;;;Toholampi;2077;19610102;1961;1;2;3365000;7085000;-4.6;-3.6;-6.6;2;205;4.02;;
;;;Toholampi;2077;19610103;1961;1;3;3365000;7085000;-2.5;-0.6;-7.1;0;227;5.04;;
;;;Toholampi;2077;19610104;1961;1;4;3365000;7085000;-2.5;-0.6;-3.6;1;235;4.42;;
;;;Toholampi;2077;19610105;1961;1;5;3365000;7085000;-1.2;1.1;-3.6;3;243;5.51;;
;;;Toholampi;2077;19610106;1961;1;6;3365000;7085000;-3;1.1;-4.3;0;251;4.52;;
;;;Toholampi;2077;19610107;1961;1;7;3365000;7085000;-4.1;-2.1;-6.5;2;282;4.06;;
;;;Toholampi;2077;19610108;1961;1;8;3365000;7085000;-4;-1.7;-6.5;3;275;4.25;;
;;;Toholampi;2077;19610109;1961;1;9;3365000;7085000;-6.1;-3.2;-7.9;0;354;3;;
;;;Toholampi;2077;19610110;1961;1;10;3365000;7085000;-5.8;-4.7;-8.3;3;368;2.94;;
;;;Toholampi;2077;19610111;1961;1;11;3365000;7085000;-6.1;-1.6;-9.5;0;340;3.97;;
;;;Toholampi;2077;19610112;1961;1;12;3365000;7085000;-8.3;-5.4;-13.2;0;356;2.8;;
;;;Toholampi;2077;19610113;1961;1;13;3365000;7085000;-4.9;-2.7;-8.8;0;372;4.06;;
;;;Toholampi;2077;19610114;1961;1;14;3365000;7085000;-5;-3.5;-8.3;0;492;3.7;;
;;;Toholampi;2077;19610115;1961;1;15;3365000;7085000;-6.8;-0.3;-10.4;0;556;3.98;;
;;;Toholampi;2077;19610116;1961;1;16;3365000;7085000;-15.8;-9.1;-21.8;0;664;1.27;;
;;;Toholampi;2077;19610117;1961;1;17;3365000;7085000;-11;-6.7;-21.5;0;565;1.98;;
;;;Toholampi;2077;19610118;1961;1;18;3365000;7085000;-3.9;-2.3;-7.1;0;456;4.47;;
;;;Toholampi;2077;19610119;1961;1;19;3365000;7085000;-3.2;-2.2;-4.6;0;491;4.59;;
;;;Toholampi;2077;19610120;1961;1;20;3365000;7085000;-5.3;-3.1;-6.3;0;470;3.86;;
;;;Toholampi;2077;19610121;1961;1;21;3365000;7085000;-8.1;-5.9;-9.6;0;519;2.92;;
;;;Toholampi;2077;19610122;1961;1;22;3365000;7085000;-8.9;-7.5;-11.9;0;583;2.7;;
;;;Toholampi;2077;19610123;1961;1;23;3365000;7085000;-10.3;-6.6;-11.5;0;911;2.73;;
;;;Toholampi;2077;19610124;1961;1;24;3365000;7085000;-13.2;-10;-16.7;0;962;1.96;;
;;;Toholampi;2077;19610125;1961;1;25;3365000;7085000;-12.3;-9.2;-16.7;0;981;1.86;;
